ticker,dateTime,open,high,low,close,volume
XEL2.MI,27/04/2010,16.85,16.85,16.85,16.85,0
XEL2.MI,28/04/2010,16.16,16.16,16.16,16.16,0
XEL2.MI,29/04/2010,16.12,16.12,16.12,16.12,5000
XEL2.MI,30/04/2010,16.12,16.12,16.12,16.12,5000
XEL2.MI,05/05/2010,14.49,14.49,14.49,14.49,20000
XEL2.MI,06/05/2010,14.63,14.63,14.22,14.58,20300
XEL2.MI,07/05/2010,13.26,13.65,13.26,13.69,40100
XEL2.MI,10/05/2010,14.46,15.09,14.46,14.96,85427
XEL2.MI,11/05/2010,14.71,14.71,14.47,14.48,46247
XEL2.MI,12/05/2010,15.07,15.07,15.07,15.07,100
XEL2.MI,13/05/2010,15.36,15.36,15.36,15.36,100
XEL2.MI,14/05/2010,14.6,14.6,14.6,14.6,1
XEL2.MI,19/05/2010,13.99,13.99,13.69,13.69,70
XEL2.MI,24/05/2010,13.56,13.56,13.56,13.56,500
XEL2.MI,26/05/2010,13.56,12.98,13.56,12.98,112
XEL2.MI,27/05/2010,13.15,13.54,13.15,13.54,2100
XEL2.MI,31/05/2010,13.56,13.56,13.56,13.56,5
XEL2.MI,01/06/2010,13.09,13.09,13.09,13.09,5
XEL2.MI,02/06/2010,13.1,13.1,13.1,13.1,1500
XEL2.MI,03/06/2010,14.12,14.12,14.12,14.12,120
XEL2.MI,04/06/2010,13.56,13.56,13.1,13.1,1100
XEL2.MI,11/06/2010,13.86,13.86,13.63,13.8,4612
XEL2.MI,14/06/2010,14.22,14.22,14.22,14.22,11
XEL2.MI,16/06/2010,14.86,14.86,14.72,14.72,90
XEL2.MI,17/06/2010,14.8,14.8,14.8,14.8,680
XEL2.MI,21/06/2010,15.42,15.42,15.19,15.19,945
XEL2.MI,23/06/2010,14.83,14.83,14.83,14.83,3000
XEL2.MI,24/06/2010,14.28,14.28,14.28,14.28,50
XEL2.MI,28/06/2010,13.7,13.7,13.7,13.7,4000
XEL2.MI,29/06/2010,13.43,13.43,13,13,16610
XEL2.MI,01/07/2010,12.71,12.71,12.38,12.38,5175
XEL2.MI,02/07/2010,12.63,12.63,12.63,12.63,150
XEL2.MI,05/07/2010,12.5,12.5,12.43,12.43,55
XEL2.MI,06/07/2010,12.93,13.19,12.93,13.19,5030
XEL2.MI,08/07/2010,13.88,13.88,13.88,13.88,300
XEL2.MI,12/07/2010,14,14,14,14,1999
XEL2.MI,14/07/2010,14.82,14.82,14.55,14.55,565
XEL2.MI,15/07/2010,14.69,14.8,14.69,14.69,3550
XEL2.MI,26/07/2010,15.03,15.03,14.67,14.96,7300
XEL2.MI,27/07/2010,15.1,15.1,15.1,15.1,30
XEL2.MI,28/07/2010,14.94,15.26,14.94,15.13,522
XEL2.MI,30/07/2010,14.65,14.65,14.65,14.65,300
XEL2.MI,03/08/2010,15.605,15.605,15.605,15.605,2000
XEL2.MI,04/08/2010,15.57,15.78,15.23,15.74,11040
XEL2.MI,05/08/2010,15.98,15.98,15.98,15.98,2000
XEL2.MI,09/08/2010,15.91,15.91,15.65,15.65,473
XEL2.MI,13/08/2010,14.56,14.56,14.25,14.32,4150
XEL2.MI,16/08/2010,14.18,14.18,14.18,14.18,50
XEL2.MI,17/08/2010,14.57,14.57,14.57,14.57,15
XEL2.MI,18/08/2010,14.44,14.44,14.44,14.44,50
XEL2.MI,23/08/2010,13.455,13.715,13.455,13.715,75
XEL2.MI,24/08/2010,13.455,13.715,13.39,13.39,85
XEL2.MI,25/08/2010,13.24,13.24,12.89,12.91,38629
XEL2.MI,26/08/2010,13.34,13.39,13.3,13.39,9150
XEL2.MI,27/08/2010,13.55,13.55,13.455,13.455,5165
XEL2.MI,30/08/2010,13.65,13.65,13.65,13.65,4
XEL2.MI,31/08/2010,13.06,13.06,13.06,13.06,750
XEL2.MI,01/09/2010,13.88,13.93,13.88,13.93,870
XEL2.MI,03/09/2010,14.54,15,14.53,15,13025
XEL2.MI,07/09/2010,14.59,14.6,14.34,14.6,15245
XEL2.MI,09/09/2010,15.02,15.02,15.02,15.02,20
XEL2.MI,13/09/2010,15.02,15.47,15.02,15.47,5004
XEL2.MI,14/09/2010,15.38,15.38,15.38,15.38,5000
XEL2.MI,21/09/2010,15.4,15.4,15.4,15.4,100
XEL2.MI,23/09/2010,14.6,14.6,14.47,14.47,55
XEL2.MI,24/09/2010,15.095,15.095,15.095,15.095,50
XEL2.MI,29/09/2010,14.89,14.89,14.89,14.89,50
XEL2.MI,30/09/2010,14.73,15.05,14.73,15.05,80
XEL2.MI,04/10/2010,14.21,14.48,14.21,14.48,5350
XEL2.MI,05/10/2010,14.64,14.86,14.64,14.79,5100
XEL2.MI,06/10/2010,15,15,15,15,9
XEL2.MI,07/10/2010,14.87,15.27,14.87,15.27,8765
XEL2.MI,08/10/2010,15,15.02,15,15.02,310
XEL2.MI,11/10/2010,15.16,15.2,15.16,15.2,10085
XEL2.MI,12/10/2010,14.95,15.08,14.82,15.08,905
XEL2.MI,13/10/2010,15.31,15.74,15.31,15.74,18200
XEL2.MI,14/10/2010,15.83,15.83,15.83,15.83,1800
