Date,Open,High,Low,Close,Volume,Adj Close
2007-02-15,42.65,42.65,42.64,42.64,0,42.64
2007-02-16,42.53,42.53,42.53,42.53,0,42.53
2007-02-19,42.63,42.78,42.63,42.74,600,42.74
2007-02-20,42.55,42.55,42.46,42.46,300,42.46
2007-02-21,42.74,42.74,42.46,42.46,15500,42.46
2007-02-22,42.45,42.47,42.45,42.45,0,42.45
2007-02-23,42.57,42.57,42.42,42.43,300,42.43
2007-02-26,42.84,42.84,42.76,42.76,500,42.76
2007-02-27,42.42,42.42,41.9,41.9,10400,41.9
2007-02-28,41.19,41.19,41.0,41.12,800,41.12
2007-03-01,42.09,42.09,39.99,39.99,6900,39.99
2007-03-02,40.6,40.6,40.05,40.05,5400,40.05
2007-03-05,39.57,39.76,39.43,39.76,500,39.76
2007-03-06,40.06,40.26,40.06,40.17,1400,40.17
2007-03-07,40.24,40.3,40.21,40.3,4200,40.3
2007-03-08,40.59,40.85,40.5,40.85,1500,40.85
2007-03-09,40.87,41.07,40.61,40.9,50900,40.9
2007-03-12,40.77,40.79,40.77,40.77,0,40.77
2007-03-13,40.79,40.79,40.37,40.47,1500,40.47
2007-03-14,39.55,39.55,39.14,39.14,300,39.14
2007-03-15,39.73,39.73,39.72,39.72,300,39.72
2007-03-16,39.76,39.84,39.73,39.84,10100,39.84
2007-03-19,40.33,40.53,40.27,40.53,5500,40.53
2007-03-20,40.43,40.52,40.43,40.52,21200,40.52
2007-03-21,40.83,40.83,40.83,40.83,700,40.83
2007-03-22,41.52,42.0,41.47,41.57,75200,41.57
2007-03-23,41.71,42.04,41.71,42.03,1200,42.03
2007-03-26,41.95,41.95,41.42,41.52,100000,41.52
2007-03-27,41.6,41.62,41.6,41.62,56200,41.62
2007-03-28,41.33,41.35,41.19,41.25,200200,41.25
2007-03-29,41.6,41.86,41.6,41.85,62100,41.85
2007-03-30,41.83,42.06,41.74,42.06,281100,42.06
2007-04-02,41.78,41.98,41.78,41.9,12100,41.9
2007-04-03,42.25,42.53,42.23,42.53,200700,42.53
2007-04-04,42.68,42.68,42.55,42.6,56000,42.6
2007-04-05,42.71,42.82,42.67,42.77,700,42.77
2007-04-10,42.91,43.0,42.91,42.95,6300,42.95
2007-04-11,43.05,43.08,43.05,43.05,0,43.05
2007-04-12,42.95,42.95,42.73,42.81,1100,42.81
2007-04-13,43.08,43.22,43.08,43.21,100,43.21
2007-04-16,43.45,43.68,43.45,43.68,500,43.68
2007-04-17,43.7,43.96,43.68,43.89,900,43.89
2007-04-18,43.7,43.7,43.69,43.69,50200,43.69
2007-04-19,43.14,43.3,43.07,43.3,56500,43.3
2007-04-20,43.81,44.46,43.81,44.46,103700,44.46
2007-04-23,44.45,44.45,44.17,44.26,1600,44.26
2007-04-24,44.15,44.15,43.81,43.84,12100,43.84
2007-04-25,44.21,44.21,44.12,44.12,12000,44.12
2007-04-26,44.54,44.58,44.36,44.36,313700,44.36
2007-04-27,44.34,44.34,44.07,44.07,200900,44.07
2007-04-30,44.11,44.44,44.11,44.29,50800,44.29
2007-05-02,44.42,44.49,44.4,44.4,500,44.4
2007-05-03,44.36,44.43,44.36,44.43,200,44.43
2007-05-04,44.67,44.99,44.67,44.99,3600,44.99
2007-05-07,45.0,45.0,44.9,44.92,2500,44.92
2007-05-08,44.8,44.8,44.5,44.55,151500,44.55
2007-05-09,44.86,44.86,44.57,44.7,206500,44.7
2007-05-10,44.79,44.79,44.49,44.49,12000,44.49
2007-05-11,45.6,45.6,44.14,44.32,5200,44.32
2007-05-14,44.9,44.9,44.62,44.62,60400,44.62
2007-05-15,44.53,44.79,44.53,44.79,350100,44.79
2007-05-16,44.81,44.99,44.75,44.75,101100,44.75
2007-05-17,44.91,44.91,44.91,44.91,0,44.91
2007-05-18,44.91,45.42,44.91,45.42,117900,45.42
2007-05-21,45.5,45.67,45.45,45.62,82900,45.62
2007-05-22,45.05,45.6,45.05,45.51,175100,45.51
2007-05-23,45.65,45.76,45.65,45.76,100100,45.76
2007-05-24,45.55,45.63,45.39,45.53,115300,45.53
2007-05-25,45.35,45.67,45.25,45.67,5500,45.67
2007-05-28,45.8,45.8,45.76,45.76,400,45.76
2007-05-29,46.0,46.0,45.67,45.75,6200,45.75
2007-05-30,45.38,45.38,45.34,45.35,200,45.35
2007-05-31,46.03,46.12,45.94,46.11,51300,46.11
2007-06-01,46.58,46.58,46.11,46.58,51500,46.58
2007-06-04,46.58,46.58,46.29,46.34,155400,46.34
2007-06-05,46.37,46.42,46.23,46.25,1300,46.25
2007-06-06,45.92,45.92,45.72,45.83,4500,45.83
2007-06-07,45.48,45.48,44.82,44.82,20600,44.82
2007-06-08,44.74,44.88,44.48,44.83,205400,44.83
2007-06-11,45.17,45.17,45.08,45.08,50900,45.08
2007-06-12,45.07,45.07,44.82,44.93,130100,44.93
2007-06-13,44.56,44.96,44.56,44.96,5100,44.96
2007-06-14,45.5,45.5,45.5,45.5,1200,45.5
2007-06-15,46.2,46.59,46.2,46.56,1100,46.56
2007-06-18,46.2,46.59,46.2,46.5,151500,46.5
2007-06-19,46.44,46.44,46.44,46.44,50000,46.44
2007-06-20,46.65,46.74,46.54,46.68,100300,46.68
2007-06-21,46.28,46.28,46.28,46.28,0,46.28
2007-06-22,45.97,45.97,45.86,45.86,100,45.86
2007-06-25,45.51,45.91,45.51,45.91,50800,45.91
2007-06-26,45.57,45.62,45.46,45.5,2900,45.5
2007-06-27,45.0,45.0,45.0,45.0,100,45.0
2007-06-28,45.69,45.7,45.67,45.67,50000,45.67
2007-06-29,45.92,45.92,45.59,45.59,50100,45.59
2007-07-02,45.8,45.85,45.76,45.76,200,45.76
2007-07-03,45.8,46.32,45.8,46.31,900,46.31
2007-07-04,46.44,46.44,46.36,46.36,900,46.36
2007-07-05,46.29,46.29,46.29,46.29,0,46.29
2007-07-06,46.33,46.33,46.33,46.33,1000,46.33
2007-07-09,46.6,46.6,46.47,46.47,100,46.47
2007-07-10,46.47,46.47,45.81,45.81,55100,45.81
2007-07-11,45.52,45.52,45.22,45.34,55500,45.34
2007-07-12,45.71,45.93,45.65,45.93,1400,45.93
2007-07-13,46.4,46.71,46.4,46.71,50500,46.71
2007-07-16,45.91,46.79,45.82,46.77,76000,46.77
2007-07-17,46.59,46.61,46.49,46.61,5600,46.61
2007-07-18,46.19,46.23,46.19,46.23,100,46.23
2007-07-19,46.23,46.23,46.18,46.18,200,46.18
2007-07-20,45.8,45.8,45.7,45.7,100,45.7
2007-07-23,45.8,45.8,45.54,45.54,100,45.54
2007-07-24,45.84,45.95,45.4,45.4,0,45.4
2007-07-25,45.0,45.0,44.61,44.81,60300,44.81
2007-07-26,44.68,44.68,43.79,43.79,900,43.79
2007-07-27,43.37,44.0,43.37,43.63,10300,43.63
2007-07-30,43.63,43.63,43.63,43.63,0,43.63
2007-07-31,44.19,44.37,44.04,44.04,5300,44.04
2007-08-01,43.3,43.66,43.24,43.66,100,43.66
2007-08-02,44.01,44.17,43.89,44.17,5200,44.17
2007-08-03,44.04,44.04,43.56,44.02,200,44.02
2007-08-06,43.19,43.29,43.19,43.19,0,43.19
2007-08-07,43.83,43.89,43.83,43.83,0,43.83
2007-08-08,44.31,44.31,44.25,44.26,200,44.26
2007-08-09,44.48,44.54,43.7,43.98,17900,43.98
2007-08-10,43.06,43.43,42.7,43.03,12700,43.03
2007-08-13,43.36,43.7,43.26,43.28,251200,43.28
2007-08-14,43.44,43.77,43.14,43.41,100100,43.41
2007-08-16,42.18,42.26,41.7,41.9,116200,41.9
2007-08-17,43.15,43.37,41.61,42.2,158700,42.2
2007-08-20,43.09,43.17,42.85,43.07,251200,43.07
2007-08-21,43.13,43.13,43.13,43.13,500,43.13
2007-08-22,43.44,43.44,43.37,43.37,200,43.37
2007-08-23,43.78,43.83,43.5,43.81,101200,43.81
2007-08-24,43.24,43.24,43.24,43.24,2000,43.24
2007-08-27,43.54,43.76,43.54,43.7,104200,43.7
2007-08-28,43.46,43.46,42.92,43.41,50600,43.41
2007-08-29,43.02,43.08,42.91,43.08,0,43.08
2007-08-30,43.5,43.69,43.26,43.69,300,43.69
2007-08-31,43.88,44.2,43.88,44.08,13500,44.08
2007-09-03,44.15,44.16,44.15,44.16,1900,44.16
2007-09-04,44.05,44.38,43.89,44.35,400,44.35
2007-09-05,44.31,44.31,43.92,43.97,1600,43.97
2007-09-06,43.78,43.78,43.4,43.46,51500,43.46
2007-09-07,43.8,43.8,43.59,43.59,200,43.59
2007-09-10,42.89,42.99,42.62,42.62,0,42.62
2007-09-11,43.01,43.09,43.01,43.09,50200,43.09
2007-09-12,43.06,43.11,43.06,43.09,0,43.09
2007-09-13,43.1,43.1,43.1,43.1,400,43.1
2007-09-14,43.13,43.38,43.13,43.29,0,43.29
2007-09-17,43.0,43.03,42.86,42.89,3300,42.89
2007-09-18,43.77,43.83,43.77,43.77,0,43.77
2007-09-19,44.81,45.18,44.58,44.88,108000,44.88
2007-09-20,44.67,44.96,44.67,44.74,52400,44.74
2007-09-21,44.84,45.17,44.69,44.97,45900,44.97
2007-09-24,44.93,44.93,44.83,44.83,0,44.83
2007-09-25,44.71,44.71,44.44,44.64,310800,44.64
2007-09-26,44.9,44.93,44.88,44.88,200,44.88
2007-09-27,45.08,45.2,45.07,45.17,88700,45.17
2007-09-28,45.1,45.1,44.96,44.96,10600,44.96
2007-10-01,44.86,45.3,44.59,44.77,5200,44.77
2007-10-02,45.57,45.65,45.46,45.48,1100,45.48
2007-10-03,45.44,45.48,45.44,45.47,300,45.47
2007-10-04,45.42,45.42,45.42,45.42,0,45.42
2007-10-05,45.55,45.83,45.55,45.77,26300,45.77
2007-10-08,45.75,45.75,45.67,45.68,600,45.68
2007-10-09,45.63,45.74,45.58,45.72,3300,45.72
2007-10-10,45.68,45.69,45.57,45.57,7900,45.57
2007-10-11,45.89,46.1,45.89,45.97,26100,45.97
2007-10-12,45.66,45.68,45.66,45.68,1700,45.68
2007-10-15,46.04,46.04,45.54,45.54,12500,45.54
2007-10-16,45.23,45.34,45.23,45.33,16200,45.33
2007-10-17,45.53,45.68,45.45,45.64,4500,45.64
2007-10-18,45.64,45.64,45.4,45.48,9800,45.48
2007-10-19,45.47,45.5,45.3,45.47,19700,45.47
2007-10-22,44.67,45.34,44.67,44.86,0,44.86
2007-10-23,45.03,45.22,45.03,45.14,300,45.14
2007-10-24,44.96,44.96,44.72,44.72,800,44.72
2007-10-25,45.2,45.2,45.16,45.16,200,45.16
2007-10-26,45.43,45.47,45.43,45.47,10000,45.47
2007-10-29,46.06,46.06,45.92,45.92,400,45.92
2007-10-30,45.89,45.92,45.89,45.92,300,45.92
2007-10-31,44.79,44.93,44.79,44.92,1400,44.92
2007-11-01,44.91,44.93,44.25,44.28,13100,44.28
2007-11-02,44.37,44.37,43.99,44.08,500,44.08
2007-11-05,44.01,44.01,44.01,44.01,1100,44.01
2007-11-06,44.23,44.32,44.23,44.24,5000,44.24
2007-11-07,44.03,44.03,43.93,44.01,0,44.01
2007-11-08,44.03,44.8,43.17,43.87,177300,43.87
2007-11-09,43.47,43.47,43.4,43.47,25100,43.47
2007-11-12,42.97,42.97,42.97,42.97,400,42.97
2007-11-13,42.94,43.07,42.94,42.94,75100,42.94
2007-11-14,43.66,43.81,43.6,43.69,5200,43.69
2007-11-15,43.2,43.23,43.09,43.14,500,43.14
2007-11-16,42.93,42.93,42.93,42.93,0,42.93
2007-11-19,43.16,43.21,43.15,43.16,100200,43.16
2007-11-20,42.73,42.96,42.71,42.82,25400,42.82
2007-11-21,42.56,42.56,42.08,42.29,185100,42.29
2007-11-22,42.36,42.36,42.36,42.36,300,42.36
2007-11-23,42.54,42.54,42.54,42.54,0,42.54
2007-11-26,42.8,42.8,42.8,42.8,0,42.8
2007-11-27,42.5,42.5,42.18,42.47,145100,42.47
2007-11-28,43.11,43.11,43.05,43.11,110000,43.11
2007-11-29,43.55,43.55,43.55,43.55,0,43.55
2007-11-30,44.09,44.19,44.01,44.19,400,44.19
2007-12-03,44.2,44.22,44.05,44.12,400,44.12
2007-12-04,43.73,43.75,43.63,43.63,60000,43.63
2007-12-05,44.01,44.33,44.0,44.02,55000,44.02
2007-12-06,44.82,44.83,44.29,44.39,100000,44.39
2007-12-07,44.7,44.88,44.7,44.84,26000,44.84
2007-12-10,44.64,44.64,44.64,44.64,500,44.64
2007-12-11,45.02,45.02,44.8,44.98,25500,44.98
2007-12-12,44.54,45.26,44.53,45.13,63700,45.13
2007-12-13,44.45,44.45,44.04,44.05,50100,44.05
2007-12-14,43.96,43.96,43.77,43.96,50000,43.96
2007-12-17,43.62,43.62,43.47,43.54,75000,43.54
2007-12-18,43.54,43.82,43.54,43.56,0,43.56
2007-12-19,43.34,43.59,43.34,43.56,2000,43.56
2007-12-20,43.36,43.51,43.36,43.51,1500,43.51
2007-12-21,43.89,44.13,43.89,44.1,1200,44.1
2007-12-27,44.54,44.54,44.54,44.54,0,44.54
2007-12-28,44.06,44.26,44.0,44.0,500,44.0
2008-01-02,44.34,44.34,44.19,44.26,10200,44.26
2008-01-03,43.68,43.68,43.6,43.6,9400,43.6
2008-01-04,43.64,43.66,43.62,43.62,35700,43.62
2008-01-07,43.04,43.19,42.94,43.13,5300,43.13
2008-01-08,43.29,43.91,43.0,43.38,1300,43.38
2008-01-09,42.95,42.95,42.92,42.92,300,42.92
2008-01-10,42.91,42.96,42.69,42.69,3600,42.69
2008-01-11,42.6,42.6,42.55,42.58,11400,42.58
2008-01-14,42.58,42.8,42.58,42.8,7700,42.8
2008-01-15,42.8,42.8,41.99,42.38,14600,42.38
2008-01-16,41.32,41.82,41.25,41.39,2300,41.39
2008-01-17,41.78,41.78,41.1,41.53,21200,41.53
2008-01-18,40.97,41.31,40.62,40.94,97700,40.94
2008-01-21,39.39,39.39,37.39,37.46,99100,37.46
2008-01-22,36.5,38.5,36.49,37.51,46900,37.51
2008-01-23,38.03,38.16,35.79,36.45,428200,36.45
2008-01-24,37.85,38.26,37.54,37.96,242200,37.96
2008-01-25,38.99,39.08,38.09,38.18,71100,38.18
2008-01-28,37.99,37.99,37.29,37.67,76500,37.67
2008-01-29,38.11,38.49,37.71,38.15,252500,38.15
2008-01-30,38.19,38.34,37.86,38.2,134800,38.2
2008-01-31,38.14,38.14,37.42,37.6,152400,37.6
2008-02-01,38.74,39.0,38.59,38.85,75900,38.85
2008-02-04,39.3,39.31,38.93,38.98,400,38.98
2008-02-05,38.52,38.55,37.5,37.72,25100,37.72
2008-02-06,37.36,37.83,37.29,37.78,79300,37.78
2008-02-07,37.64,37.64,37.0,37.29,67200,37.29
2008-02-08,37.79,37.82,37.07,37.26,1900,37.26
2008-02-11,36.88,37.41,35.8,37.12,137000,37.12
2008-02-12,37.3,38.2,37.03,37.73,52800,37.73
2008-02-13,37.89,38.2,37.89,38.2,26100,38.2
2008-02-14,38.76,38.76,38.2,38.25,43800,38.25
2008-02-15,38.32,38.32,37.35,37.57,84600,37.57
2008-02-18,37.83,38.32,37.83,38.23,32800,38.23
2008-02-19,38.02,38.76,37.75,38.75,103800,38.75
2008-02-20,37.96,38.0,37.76,37.9,63600,37.9
2008-02-21,38.1,38.51,38.07,38.25,81600,38.25
2008-02-22,37.89,38.06,37.48,37.58,56600,37.58
2008-02-25,38.26,38.31,37.4,38.31,42600,38.31
2008-02-26,38.43,38.87,38.43,38.83,45100,38.83
2008-02-27,38.95,38.95,38.23,38.85,17900,38.85
2008-02-28,38.6,38.6,38.25,38.26,31800,38.26
2008-02-29,38.01,38.01,37.31,37.61,5400,37.61
2008-03-03,36.92,37.0,36.81,36.97,35900,36.97
2008-03-04,37.26,37.26,36.35,36.6,42300,36.6
2008-03-05,36.63,37.14,36.63,37.14,15700,37.14
2008-03-06,36.89,37.01,36.38,36.53,8000,36.53
2008-03-07,35.9,36.36,35.77,35.77,80600,35.77
2008-03-10,35.88,36.65,35.55,35.79,37500,35.79
2008-03-11,35.93,36.62,35.82,36.42,28700,36.42
2008-03-12,36.97,37.12,36.71,36.75,2600,36.75
2008-03-13,36.15,36.15,35.6,35.99,63700,35.99
2008-03-14,36.22,36.67,35.8,35.94,38100,35.94
2008-03-17,35.0,35.13,34.68,35.04,39200,35.04
2008-03-18,35.28,35.72,35.11,35.67,104300,35.67
2008-03-19,35.78,36.0,35.57,35.61,52400,35.61
2008-03-20,35.21,35.41,35.13,35.41,50400,35.41
2008-03-25,36.31,37.17,35.43,36.43,97200,36.43
2008-03-26,36.6,36.6,36.29,36.36,4300,36.36
2008-03-27,36.65,37.05,36.59,36.79,11500,36.79
2008-03-28,36.9,36.9,36.71,36.82,25500,36.82
2008-03-31,36.19,36.55,36.19,36.48,400,36.48
2008-04-01,37.03,37.83,37.03,37.67,14500,37.67
2008-04-02,38.02,38.42,38.01,38.29,25200,38.29
2008-04-03,38.53,38.53,37.67,37.94,12000,37.94
2008-04-04,38.45,38.45,37.85,37.85,78200,37.85
2008-04-07,38.54,38.74,38.54,38.66,27100,38.66
2008-04-08,38.3,38.31,37.81,38.28,25600,38.28
2008-04-09,38.12,38.42,38.06,38.41,200,38.41
2008-04-10,37.89,37.99,37.5,37.81,43500,37.81
2008-04-11,38.18,38.29,37.3,37.33,1900,37.33
2008-04-14,37.2,37.2,36.93,37.14,3800,37.14
2008-04-15,36.9,37.23,36.9,37.0,2400,37.0
2008-04-16,37.43,37.73,37.43,37.73,400,37.73
2008-04-17,38.01,38.02,37.57,37.58,27800,37.58
2008-04-18,38.02,38.49,37.59,38.47,30900,38.47
2008-04-21,38.49,38.49,38.08,38.11,800,38.11
2008-04-22,38.03,38.12,37.67,37.67,1500,37.67
2008-04-23,38.0,38.0,37.48,37.54,36100,37.54
2008-04-24,37.95,37.95,37.62,37.73,26400,37.73
2008-04-25,38.54,38.62,38.49,38.49,1100,38.49
2008-04-28,38.67,38.87,38.66,38.75,41000,38.75
2008-04-29,38.94,38.94,38.4,38.52,33600,38.52
2008-04-30,38.57,38.85,38.29,38.5,2100,38.5
2008-05-02,38.96,40.2,38.96,39.43,86000,39.43
2008-05-05,39.43,39.59,39.29,39.43,50300,39.43
2008-05-06,39.17,39.22,38.92,39.15,34200,39.15
2008-05-07,39.14,39.58,39.14,39.56,12400,39.56
2008-05-08,39.19,39.2,39.06,39.06,3900,39.06
2008-05-09,39.0,39.05,38.59,38.73,3100,38.73
2008-05-12,38.43,39.12,38.43,39.09,25900,39.09
2008-05-13,39.28,39.28,38.71,39.02,5100,39.02
2008-05-14,39.13,39.5,38.91,39.5,1800,39.5
2008-05-15,39.19,39.36,39.19,39.28,31700,39.28
2008-05-16,39.8,39.83,39.49,39.49,2800,39.49
2008-05-19,39.68,39.9,39.63,39.85,1600,39.85
2008-05-20,39.56,39.62,39.39,39.5,38600,39.5
2008-05-21,39.27,39.4,38.95,39.01,51700,39.01
2008-05-22,38.72,39.15,38.72,39.03,66000,39.03
2008-05-23,38.93,38.93,38.66,38.71,19800,38.71
2008-05-26,38.44,38.49,37.16,38.47,15000,38.47
2008-05-27,38.61,38.61,38.18,38.25,103700,38.25
2008-05-28,38.45,38.85,38.45,38.8,37300,38.8
2008-05-29,38.79,38.95,38.58,38.59,8400,38.59
2008-05-30,38.98,39.09,38.98,39.07,34300,39.07
2008-06-02,39.07,39.07,38.53,38.53,9900,38.53
2008-06-03,38.45,40.8,38.04,38.5,2100,38.5
2008-06-04,38.39,38.4,38.02,38.29,8000,38.29
2008-06-05,38.35,38.4,38.1,38.19,4100,38.19
2008-06-06,38.3,38.3,37.35,37.41,35200,37.41
2008-06-09,37.26,37.39,37.13,37.33,27200,37.33
2008-06-10,36.71,37.15,36.71,37.13,6500,37.13
2008-06-11,37.25,37.25,36.38,36.42,4200,36.42
2008-06-12,36.6,36.91,36.46,36.66,190700,36.66
2008-06-13,36.6,36.96,36.46,36.95,2000,36.95
2008-06-16,36.98,36.98,36.72,36.76,73500,36.76
2008-06-17,36.78,37.08,36.78,37.08,30000,37.08
2008-06-18,36.7,36.71,36.3,36.34,2600,36.34
2008-06-19,36.2,36.45,36.2,36.33,2200,36.33
2008-06-20,36.28,36.28,35.3,35.74,53300,35.74
2008-06-23,35.6,35.85,35.53,35.73,3200,35.73
2008-06-24,35.64,35.64,34.99,35.19,45200,35.19
2008-06-25,35.64,35.89,35.6,35.7,27100,35.7
2008-06-26,35.65,35.65,35.0,35.28,44500,35.28
2008-06-27,34.87,34.91,34.34,34.46,170000,34.46
2008-06-30,34.46,34.7,34.28,34.6,2800,34.6
2008-07-01,34.42,34.47,33.97,34.19,89100,34.19
2008-07-02,34.17,34.6,34.17,34.45,28000,34.45
2008-07-03,33.73,34.67,33.73,34.41,99200,34.41
2008-07-04,34.58,34.58,34.13,34.13,2800,34.13
2008-07-07,34.27,34.61,34.24,34.58,3000,34.58
2008-07-08,33.98,34.21,33.83,34.21,1800,34.21
2008-07-09,34.22,34.71,34.22,34.64,2500,34.64
2008-07-10,34.23,34.54,34.08,34.08,10700,34.08
2008-07-11,34.12,34.15,33.35,33.52,48200,33.52
2008-07-14,33.68,33.7,33.45,33.46,37900,33.46
2008-07-15,33.2,33.2,32.42,32.69,70400,32.69
2008-07-16,32.86,33.05,32.23,32.5,57200,32.5
2008-07-17,32.99,34.02,32.99,33.75,58800,33.75
2008-07-18,33.8,34.32,33.61,34.15,9300,34.15
2008-07-21,34.32,34.86,34.3,34.73,3200,34.73
2008-07-22,34.35,34.42,33.97,34.39,18600,34.39
2008-07-23,34.42,35.37,34.42,35.1,2800,35.1
2008-07-24,35.35,35.35,34.87,34.87,17500,34.87
2008-07-25,34.82,34.84,33.87,34.73,14800,34.73
2008-07-28,34.53,34.75,34.48,34.69,6500,34.69
2008-07-29,34.11,34.65,34.02,34.62,3000,34.62
2008-07-30,33.76,35.07,33.76,34.94,13500,34.94
2008-07-31,34.92,35.31,34.92,35.25,12300,35.25
2008-08-01,34.82,34.85,34.48,34.61,36000,34.61
2008-08-04,34.35,34.58,34.19,34.21,8100,34.21
2008-08-05,34.29,35.12,34.29,35.12,50900,35.12
2008-08-06,35.4,35.46,35.2,35.22,61700,35.22
2008-08-07,35.59,35.75,35.41,35.41,12800,35.41
2008-08-08,35.44,35.44,34.5,35.44,5900,35.44
2008-08-11,35.66,35.73,35.56,35.71,8800,35.71
2008-08-12,35.61,35.85,35.59,35.69,7300,35.69
2008-08-13,35.36,35.57,35.02,35.11,6400,35.11
2008-08-14,35.19,35.19,34.73,34.73,20000,34.73
2008-08-18,34.74,35.3,34.74,35.21,600,35.21
2008-08-19,34.59,34.59,34.22,34.25,600,34.25
2008-08-20,34.31,34.39,34.27,34.35,11300,34.35
2008-08-21,33.89,34.06,33.8,33.8,11600,33.8
