Date,Open,High,Low,Close,Volume,Adj Close
2012-02-06,200.07,200.07,200.07,199.76,0,199.76
2012-02-14,199.74,199.74,199.74,199.43,0,199.43
2012-02-15,199.57,199.57,199.57,199.37,0,199.37
2012-02-22,199.39,199.39,199.39,199.21,0,199.21
2012-02-28,200.43,200.43,200.43,200.22,100,200.22
2012-03-01,200.53,200.53,200.53,200.32,0,200.32
2012-03-05,200.64,200.64,200.51,200.11,0,200.11
2012-03-14,199.62,199.62,199.62,199.21,0,199.21
2012-03-16,200.29,200.29,200.29,199.74,0,199.74
2012-03-19,200.64,200.64,200.64,200.05,0,200.05
2012-04-12,200.35,200.35,200.35,199.79,0,199.79
2012-04-19,199.38,199.38,199.38,199.83,0,199.83
2012-04-24,200.39,200.39,200.39,199.95,0,199.95
2012-05-02,201.18,201.18,201.18,200.71,0,200.71
2012-05-03,201.27,201.27,201.27,200.82,0,200.82
2012-05-15,202.29,202.29,202.11,201.56,0,201.56
2012-05-16,202.1,202.1,202.1,201.58,0,201.58
2012-05-18,202.58,202.58,202.58,202.01,200,202.01
2012-05-22,202.81,202.81,202.81,202.32,0,202.32
2012-05-25,203.08,203.08,203.08,202.55,200,202.55
2012-05-28,202.88,202.88,202.88,202.38,0,202.38
2012-05-29,202.87,202.87,202.87,202.4,0,202.4
2012-05-31,203.96,203.96,203.96,203.52,0,203.52
2012-06-05,204.91,204.91,204.91,204.4,0,204.4
2012-06-08,203.71,203.8,203.71,203.13,100,203.13
2012-06-12,203.13,203.13,203.13,202.48,0,202.48
2012-06-13,202.81,202.81,202.81,202.62,0,202.62
2012-06-18,203.15,203.15,203.15,202.67,0,202.67
2012-06-29,203.23,203.24,203.23,202.67,300,202.67
2012-07-02,203.33,203.33,203.33,202.67,0,202.67
2012-07-04,203.7,203.7,203.7,202.67,0,202.67
2012-07-13,204.867,204.867,204.867,204.867,0,204.867
2012-07-17,205.37,205.37,205.37,202.67,0,202.67
2012-07-24,205.09,205.09,205.09,204.857,0,204.857
2012-08-01,202.5,202.5,201.34,201.706,0,201.706
2012-08-02,201.5,201.5,201.39,201.54,200,201.54
2012-08-07,202.47,202.47,202.25,201.863,8800,201.863
2012-08-08,201.8,201.8,201.8,201.642,100,201.642
2012-08-13,201.94,201.94,201.94,201.762,0,201.762
2012-08-16,201.5,201.5,200.88,200.525,100,200.525
2012-08-20,200.05,200.05,200.05,200.663,0,200.663
2012-08-21,201.11,201.11,201.11,200.581,0,200.581
2012-09-07,202.21,202.21,202.21,201.956,0,201.956
2012-09-14,202.2,202.2,202.2,201.658,0,201.658
2012-09-19,201.78,201.78,201.78,201.257,4900,201.257
2012-09-21,201.4,201.4,201.4,201.467,200,201.467
2012-09-24,201.0,201.0,201.0,201.637,0,201.637
2012-09-28,201.72,201.72,201.72,202.303,0,202.303
2012-10-04,202.95,202.95,202.95,202.396,100,202.396
2012-10-08,202.45,202.45,202.45,201.99,0,201.99
2012-10-18,201.27,201.27,201.27,201.84,0,201.84
2012-10-24,202.31,202.32,202.31,201.827,0,201.827
2012-10-31,202.62,202.62,202.61,202.32,100,202.32
2012-11-01,202.77,202.77,202.77,202.27,0,202.27
2012-11-09,203.55,203.55,203.55,202.76,0,202.76
2012-11-16,202.84,202.84,202.84,203.32,0,203.32
2012-11-22,203.21,203.21,203.21,202.74,0,202.74
2012-12-03,203.3,203.3,203.3,203.6,0,203.6
2012-12-04,204.08,204.08,204.08,203.71,0,203.71
2012-12-13,203.87,203.88,203.87,203.44,100,203.44
2012-12-18,202.6,203.24,202.6,202.87,0,202.87
2012-12-19,203.27,203.27,203.27,202.95,0,202.95
2012-12-28,202.92,202.92,202.92,203.29,100,203.29
2013-01-02,202.71,202.71,202.71,202.69,16900,202.69
2013-01-03,203.16,203.16,203.16,202.92,0,202.92
2013-01-07,202.54,202.54,202.54,202.27,0,202.27
2013-01-08,202.73,202.73,202.73,202.65,0,202.65
2013-01-11,202.84,202.84,202.84,202.95,100,202.95
2013-01-14,203.05,203.08,203.05,202.56,0,202.56
2013-01-15,203.2,203.27,203.2,202.76,0,202.76
2013-01-22,203.28,203.28,203.28,202.85,100,202.85
2013-02-01,201.53,201.53,201.53,201.98,100,201.98
2013-02-11,202.59,202.59,202.59,202.0,0,202.0
2013-02-12,202.0,202.0,201.47,201.98,0,201.98
2013-02-15,201.56,201.56,201.56,201.92,0,201.92
2013-02-18,201.51,201.51,201.51,201.91,0,201.91
2013-02-19,202.58,202.58,202.58,202.1,0,202.1
2013-02-22,202.7,202.7,202.7,202.07,0,202.07
2013-02-27,203.49,203.49,203.49,203.04,0,203.04
2013-03-06,203.94,203.94,203.94,203.43,0,203.43
2013-03-08,202.47,202.47,202.47,203.19,100,203.19
2013-03-11,203.32,203.32,203.32,202.82,0,202.82
2013-03-18,203.3,203.95,203.3,203.42,0,203.42
2013-03-22,203.66,203.66,203.66,204.21,0,204.21
2013-03-25,204.67,204.67,204.67,204.25,100,204.25
2013-04-08,207.14,207.14,207.14,206.58,0,206.58
2013-04-10,206.41,206.41,206.41,205.81,0,205.81
2013-05-08,206.57,206.57,206.57,206.68,0,206.68
2013-05-09,206.41,206.41,205.62,206.1,300,206.1
2013-05-10,205.19,206.19,205.05,206.1,200,206.1
2013-05-14,205.0,205.0,204.29,204.65,0,204.65
2013-05-15,204.81,204.81,203.81,204.25,0,204.25
2013-05-21,204.83,204.83,204.83,204.3,0,204.3
2013-05-22,204.97,204.97,204.97,204.3,100,204.3
2013-05-24,203.61,203.61,203.61,204.02,100,204.02
2013-05-27,204.44,204.44,204.44,203.94,0,203.94
2013-05-28,203.06,203.06,203.06,203.59,0,203.59
2013-05-30,203.74,203.74,203.74,203.09,0,203.09
2013-06-03,202.48,202.48,202.48,203.33,0,203.33
2013-06-04,202.52,202.52,202.52,203.02,0,203.02
2013-06-06,203.49,203.49,203.49,203.1,0,203.1
2013-06-07,203.85,203.85,203.85,202.98,0,202.98
2013-06-14,203.51,203.51,203.51,203.17,0,203.17
2013-06-19,206.47,206.47,203.37,202.76,0,202.76
2013-06-20,201.79,201.79,201.79,201.29,100,201.29
2013-06-26,200.61,200.61,200.61,200.23,200,200.23
2013-06-27,201.23,201.23,201.23,200.63,700,200.63
2013-07-12,201.96,201.96,201.96,201.29,0,201.29
2013-07-31,197.77,197.77,197.77,198.1,0,198.1
2013-08-01,197.66,197.66,197.66,198.17,0,198.17
2013-08-20,196.79,196.79,196.79,197.34,0,197.34
2013-09-03,196.89,196.89,196.89,197.12,0,197.12
2013-09-23,197.53,197.53,197.53,198.42,0,198.42
2013-09-25,199.55,199.55,199.55,199.09,0,199.09
2013-09-30,198.58,199.63,198.58,199.15,300,199.15
2013-10-29,200.86,200.86,200.86,200.55,0,200.55
2013-11-06,200.67,200.67,200.67,200.33,100,200.33
2013-11-08,201.13,201.13,201.13,199.98,0,199.98
2013-11-14,200.0,200.0,200.0,200.51,0,200.51
2013-11-20,199.79,199.79,199.79,200.46,0,200.46
2013-11-21,200.39,200.39,200.39,200.06,0,200.06
2013-12-16,200.36,200.36,200.36,199.87,0,199.87
2013-12-20,200.15,200.15,200.15,199.66,0,199.66
2013-12-27,198.44,198.44,198.44,198.95,0,198.95
2014-01-07,199.32,200.33,199.32,199.84,0,199.84
2014-01-14,201.11,201.11,201.11,200.55,0,200.55
2014-01-24,201.03,201.03,201.03,201.58,0,201.58
2014-01-31,201.56,201.56,201.56,202.23,100,202.23
2014-02-13,202.43,202.43,202.43,202.02,0,202.02
2014-02-27,202.52,202.52,202.52,203.09,200,203.09
2014-03-10,201.85,202.85,201.85,202.91,0,202.91
2014-03-20,203.0,203.0,203.0,202.47,0,202.47
2014-03-27,203.85,203.85,203.85,203.33,0,203.33
2014-03-28,203.58,203.58,203.58,203.13,0,203.13
2014-04-02,203.25,203.25,203.25,202.92,0,202.92
2014-04-07,203.97,203.97,203.97,203.61,0,203.61
2014-04-11,203.41,203.41,203.41,203.97,0,203.97
2014-04-22,204.4,204.4,204.34,203.74,200,203.74
2014-04-30,204.66,204.66,204.66,204.32,0,204.32
2014-05-05,205.17,205.17,205.12,204.48,0,204.48
2014-05-06,205.01,205.12,205.01,204.66,0,204.66
2014-05-07,204.3,204.3,204.3,204.74,0,204.74
2014-05-12,205.03,205.03,205.03,204.72,0,204.72
2014-05-15,204.9,204.9,204.9,205.73,100,205.73
2014-05-19,205.98,205.98,205.98,205.46,0,205.46
2014-05-20,205.63,205.63,205.63,205.27,0,205.27
2014-06-10,205.11,205.11,205.11,205.43,0,205.43
2014-07-08,206.43,206.64,206.43,206.45,0,206.45
2014-07-16,207.24,207.24,207.24,206.77,100,206.77
2014-07-24,208.0,208.0,208.0,204.62,0,204.62
2014-07-31,205.15,205.15,205.15,204.53,0,204.53
2014-08-18,206.63,206.63,206.63,206.13,0,206.13
2014-09-03,206.85,206.85,206.84,206.38,0,206.38
2014-09-04,207.05,207.05,207.05,206.49,0,206.49
2014-09-09,205.58,205.58,205.58,205.96,0,205.96
2014-09-12,205.0,205.0,205.0,205.52,0,205.52
2014-09-15,204.97,204.97,204.97,205.48,200,205.48
2014-09-18,205.83,205.83,205.83,205.37,0,205.37
2014-09-19,205.94,205.94,205.94,205.67,0,205.67
2014-09-23,206.6,206.6,206.6,206.1,0,206.1
2014-09-29,205.92,205.92,205.92,206.61,0,206.61
2014-10-08,206.97,206.97,206.97,207.56,0,207.56
2014-10-14,208.43,208.74,208.43,208.34,200,208.34
2014-10-16,209.32,209.4,208.25,208.29,60000,208.29
2014-10-27,208.35,208.35,208.35,207.86,200,207.86
2014-10-30,208.0,208.0,207.02,207.97,0,207.97
2014-11-03,208.29,208.29,208.29,207.68,0,207.68
2014-11-10,208.35,208.35,208.35,208.05,0,208.05
2014-11-24,209.0,209.0,209.0,208.57,0,208.57
2014-11-25,208.94,208.94,208.94,208.86,0,208.86
2014-11-26,208.95,208.95,208.95,209.23,0,209.23
2014-11-27,209.71,209.71,209.71,209.56,0,209.56
2014-11-28,209.8,209.8,209.8,209.66,0,209.66
2014-12-03,209.52,209.53,209.52,209.35,0,209.35
2014-12-04,210.0,210.0,210.0,209.33,0,209.33
2014-12-08,208.99,209.02,208.99,209.43,0,209.43
2014-12-09,209.66,209.66,209.66,209.87,0,209.87
2014-12-10,209.66,209.66,209.66,209.93,0,209.93
2014-12-17,210.9,210.9,210.9,210.78,0,210.78
2014-12-23,210.88,210.88,210.87,210.52,100,210.52
2014-12-29,210.81,210.81,210.81,210.82,0,210.82
2015-01-05,211.27,211.94,211.27,211.77,0,211.77
2015-01-07,212.61,212.61,212.61,212.38,0,212.38
2015-01-08,213.97,213.97,213.97,213.94,200,213.94
2015-01-16,216.15,216.26,215.76,215.64,100,215.64
2015-01-21,215.91,215.91,215.72,215.21,0,215.21
2015-01-23,216.23,216.44,216.23,216.87,0,216.87
2015-01-26,216.26,216.26,216.26,215.95,100,215.95
2015-01-28,215.92,215.92,215.92,216.06,0,216.06
2015-01-30,217.07,217.18,217.07,216.99,0,216.99
2015-02-02,217.2,217.23,217.14,217.04,300,217.04
2015-02-03,217.0,217.0,216.64,216.46,100,216.46
2015-02-04,216.6,216.6,216.14,215.85,0,215.85
2015-02-05,216.21,216.21,216.14,215.92,100,215.92
2015-02-06,216.14,216.14,215.49,215.07,100,215.07
2015-02-10,214.72,214.72,214.22,214.37,100,214.37
2015-02-11,218.9,218.9,214.45,214.18,100,214.18
2015-02-12,214.31,214.31,214.31,214.42,0,214.42
2015-02-16,213.68,213.68,213.68,213.78,100,213.78
2015-02-17,213.6,214.04,212.5,213.74,300,213.74
2015-02-18,215.0,215.0,213.58,213.44,0,213.44
2015-02-19,213.55,213.85,213.55,214.1,0,214.1
2015-02-20,213.74,213.74,213.74,213.83,0,213.83
2015-02-23,214.14,214.14,214.14,213.9,0,213.9
2015-03-02,214.8,214.8,214.48,214.35,0,214.35
2015-03-05,214.48,214.48,214.48,213.92,0,213.92
2015-03-06,214.39,214.39,214.39,213.26,0,213.26
2015-03-10,213.86,214.06,213.86,214.32,0,214.32
2015-03-11,214.64,214.64,214.64,214.56,0,214.56
2015-03-12,215.61,215.61,215.61,215.11,0,215.11
2015-03-13,215.3,215.3,214.84,214.98,200,214.98
2015-03-16,215.07,215.07,215.07,215.38,0,215.38
2015-03-18,215.91,215.91,215.91,215.74,0,215.74
2015-03-20,216.34,216.75,216.34,216.77,0,216.77
2015-03-24,216.82,216.82,216.82,216.7,0,216.7
2015-03-25,216.76,217.01,216.76,216.84,0,216.84
2015-03-26,216.6,216.6,216.6,216.57,100,216.57
2015-03-27,216.4,216.4,216.4,216.45,0,216.45
2015-03-30,215.99,215.99,215.99,216.17,0,216.17
2015-03-31,216.12,216.12,216.12,216.37,0,216.37
2015-04-02,215.82,215.82,215.71,215.35,0,215.35
2015-04-07,215.14,215.14,215.14,215.19,100,215.19
2015-04-08,215.35,215.35,215.35,215.22,0,215.22
2015-04-09,215.28,215.28,215.1,214.98,0,214.98
2015-04-10,215.06,215.06,214.74,214.94,100,214.94
2015-04-13,216.0,216.0,216.0,214.91,0,214.91
2015-04-15,215.64,215.73,215.43,215.62,100,215.62
2015-04-16,215.43,215.43,215.43,215.33,0,215.33
2015-04-20,215.8,215.8,215.8,215.44,0,215.44
2015-04-21,215.24,215.24,215.24,215.25,200,215.25
2015-04-29,214.06,214.06,213.08,213.08,100,213.08
2015-04-30,212.98,212.98,212.98,212.95,100,212.95
2015-05-04,213.06,213.09,213.06,212.66,100,212.66
2015-05-05,213.1,213.1,211.45,211.29,100,211.29
2015-05-07,210.29,213.0,210.29,210.74,100,210.74
2015-05-11,211.44,211.44,211.44,210.91,0,210.91
2015-05-12,209.96,209.96,209.96,210.09,0,210.09
2015-05-18,210.91,210.91,210.91,210.57,0,210.57
2015-05-19,211.33,211.33,211.33,210.58,0,210.58
2015-05-21,210.58,210.58,210.39,210.55,0,210.55
2015-05-26,210.58,210.58,210.58,210.88,0,210.88
2015-05-28,211.1,211.1,211.08,211.25,0,211.25
2015-06-04,209.14,209.46,209.14,209.11,300,209.11
2015-06-09,208.96,208.96,208.96,208.05,0,208.05
2015-06-10,207.6,207.6,207.6,207.55,0,207.55
2015-06-11,207.73,207.73,207.73,208.24,0,208.24
