Date,Open,High,Low,Close,Volume,Adj Close
2010-04-27,43.78,43.78,43.78,43.78,0,43.78
2010-04-28,41.91,41.91,41.91,41.91,0,41.91
2010-04-29,41.99,41.99,41.99,41.99,0,41.99
2010-04-30,42.17,42.17,42.17,42.17,0,42.17
2010-05-03,42.57,42.57,42.57,42.57,0,42.57
2010-05-04,40.9,40.9,40.9,40.9,100,40.9
2010-05-05,39.76,39.76,39.76,39.76,0,39.76
2010-05-06,40.0,40.0,40.0,40.0,100,40.0
2010-05-07,38.94,38.94,38.94,38.94,500,38.94
2010-05-10,39.99,39.99,39.99,39.99,0,39.99
2010-05-11,38.65,38.65,38.65,38.65,400,38.65
2010-05-12,42.75,42.75,42.75,42.75,0,42.75
2010-05-13,44.18,44.18,43.4,43.7,800,43.7
2010-05-14,43.16,43.16,42.06,42.68,300,42.68
2010-05-17,41.09,41.49,41.09,41.49,1100,41.49
2010-05-18,42.14,42.14,42.14,42.14,0,42.14
2010-05-19,40.14,40.16,40.1,40.16,30000,40.16
2010-05-20,40.91,40.91,40.91,40.91,5000,40.91
2010-05-21,36.94,36.94,36.1,36.48,3100,36.48
2010-05-24,37.43,37.43,37.43,37.43,0,37.43
2010-05-25,35.67,35.67,35.67,35.67,0,35.67
2010-05-26,37.32,37.32,36.68,37.19,0,37.19
2010-05-27,37.81,37.81,37.35,37.35,100,37.35
2010-05-28,39.15,39.15,39.15,39.15,0,39.15
2010-05-31,39.5,39.5,39.5,39.5,100,39.5
2010-06-01,39.42,39.42,39.42,39.42,0,39.42
2010-06-02,39.76,39.76,39.76,39.76,0,39.76
2010-06-03,40.74,40.74,40.74,40.74,0,40.74
2010-06-04,38.98,38.98,38.98,38.98,0,38.98
2010-06-07,38.38,38.38,38.38,38.38,0,38.38
2010-06-08,37.96,37.96,37.96,37.96,0,37.96
2010-06-09,39.71,39.71,39.71,39.71,0,39.71
2010-06-10,40.73,40.73,40.73,40.73,0,40.73
2010-06-11,40.42,40.42,40.42,40.42,0,40.42
2010-06-14,41.6,41.6,41.6,41.6,0,41.6
2010-06-15,41.62,41.62,41.62,41.62,0,41.62
2010-06-16,42.43,42.43,42.43,42.43,0,42.43
2010-06-17,42.81,43.0,42.81,43.0,5100,43.0
2010-06-18,42.81,42.81,42.81,42.81,0,42.81
2010-06-21,43.69,43.69,43.69,43.69,0,43.69
2010-06-22,43.0,43.0,43.0,43.0,200,43.0
2010-06-23,42.33,42.33,42.33,42.33,0,42.33
2010-06-24,42.36,42.36,42.36,42.36,0,42.36
2010-06-25,40.695,40.695,40.695,40.695,0,40.695
2010-06-28,41.81,41.81,41.81,41.81,0,41.81
2010-06-29,39.39,39.39,39.39,39.39,0,39.39
2010-06-30,39.59,39.64,39.29,39.29,5400,39.29
2010-07-01,38.55,38.55,37.9,37.9,300,37.9
2010-07-02,37.88,38.0,37.88,38.0,200,38.0
2010-07-05,37.525,37.525,37.525,37.525,0,37.525
2010-07-06,38.98,38.98,38.98,38.98,0,38.98
2010-07-07,38.24,38.24,38.24,38.24,5000,38.24
2010-07-08,39.9,39.9,39.9,39.9,400,39.9
2010-07-09,40.51,40.51,40.51,40.51,0,40.51
2010-07-12,40.63,40.63,40.63,40.63,100,40.63
2010-07-13,42.095,42.095,42.095,42.095,0,42.095
2010-07-14,42.55,42.55,42.55,42.55,100,42.55
2010-07-15,42.76,43.17,42.76,43.17,10500,43.17
2010-07-16,40.69,40.69,40.69,40.69,5000,40.69
2010-07-19,40.005,40.005,40.005,40.005,0,40.005
2010-07-20,39.3,39.3,39.3,39.3,0,39.3
2010-07-21,40.11,40.11,40.11,40.11,500,40.11
2010-07-22,41.45,41.45,41.45,41.45,0,41.45
2010-07-23,41.855,41.855,41.855,41.855,0,41.855
2010-07-26,42.175,42.175,42.175,42.175,0,42.175
2010-07-27,42.365,42.365,42.365,42.365,0,42.365
2010-07-28,42.91,42.91,42.91,42.91,1000,42.91
2010-07-29,41.55,41.55,41.55,41.55,0,41.55
2010-07-30,41.93,41.93,41.93,41.93,0,41.93
2010-08-02,43.02,43.5,43.02,43.425,100,43.425
2010-08-03,43.815,43.815,43.815,43.815,0,43.815
2010-08-04,43.13,43.91,43.13,43.91,0,43.91
2010-08-05,44.235,44.235,44.235,44.235,0,44.235
2010-08-06,44.6,44.6,44.6,44.6,1000,44.6
2010-08-09,44.38,44.38,44.38,44.38,0,44.38
2010-08-10,43.365,43.365,43.365,43.365,0,43.365
2010-08-11,42.14,42.14,42.14,42.14,100,42.14
2010-08-12,41.345,41.345,41.345,41.345,0,41.345
2010-08-13,40.84,40.84,40.84,40.84,0,40.84
2010-08-16,41.02,41.02,41.02,41.02,0,41.02
2010-08-17,42.41,42.41,42.41,42.41,0,42.41
2010-08-18,42.17,42.17,42.17,42.17,0,42.17
2010-08-19,42.59,42.59,41.0,41.0,20200,41.0
2010-08-20,39.85,39.85,39.85,39.85,0,39.85
2010-08-23,39.71,39.715,39.71,39.715,5000,39.715
2010-08-24,39.03,39.03,38.66,38.66,100,38.66
2010-08-25,38.76,38.76,37.66,38.395,31600,38.395
2010-08-26,38.62,38.96,38.5,38.5,4500,38.5
2010-08-27,38.795,38.795,38.795,38.795,0,38.795
2010-08-30,39.0,39.0,39.0,39.0,0,39.0
2010-08-31,37.67,37.67,37.67,37.67,0,37.67
2010-09-01,39.14,39.14,39.14,39.14,0,39.14
2010-09-02,40.46,40.86,40.3,40.46,400,40.46
2010-09-03,41.6,41.62,41.6,41.62,5200,41.62
2010-09-06,41.57,41.57,41.57,41.57,0,41.57
2010-09-07,41.16,41.18,41.16,41.18,0,41.18
2010-09-08,41.68,41.68,41.68,41.68,0,41.68
2010-09-09,42.2,42.2,42.2,42.2,0,42.2
2010-09-10,42.09,42.3,42.05,42.05,5700,42.05
2010-09-13,43.09,43.09,43.09,43.09,0,43.09
2010-09-14,43.12,43.12,42.96,43.09,8900,43.09
2010-09-15,43.45,43.45,43.45,43.45,300,43.45
2010-09-16,42.975,42.975,42.975,42.975,0,42.975
2010-09-17,43.7,43.7,42.73,42.73,1200,42.73
2010-09-20,42.5,43.16,42.49,43.16,10000,43.16
2010-09-21,43.42,43.42,43.42,43.42,0,43.42
2010-09-22,42.62,42.62,42.62,42.62,400,42.62
2010-09-23,41.41,41.41,41.41,41.41,10000,41.41
2010-09-24,43.515,43.515,43.515,43.515,0,43.515
2010-09-27,43.1,43.1,43.1,43.1,0,43.1
2010-09-28,43.165,43.165,43.165,43.165,0,43.165
2010-09-29,42.925,42.925,42.925,42.925,0,42.925
2010-09-30,43.53,43.53,43.53,43.53,5000,43.53
2010-10-01,43.37,43.37,43.37,43.37,0,43.37
2010-10-04,41.4,41.77,41.4,41.445,5000,41.445
2010-10-05,41.32,42.04,41.3,42.04,10000,42.04
2010-10-06,42.9,42.9,42.72,42.72,100,42.72
2010-10-07,42.7,43.39,42.46,43.24,6000,43.24
2010-10-08,42.9,42.9,42.9,42.9,0,42.9
2010-10-11,43.44,43.44,43.44,43.44,0,43.44
2010-10-12,43.09,43.11,43.09,43.11,10000,43.11
2010-10-13,44.01,44.01,44.01,44.01,3000,44.01
2010-10-14,45.92,46.01,45.74,45.74,3000,45.74
2010-10-15,45.91,46.0,45.82,45.95,9300,45.95
2010-10-18,45.84,47.145,45.84,46.525,300,46.525
2010-10-19,46.53,46.75,46.49,46.49,2500,46.49
2010-10-20,46.53,46.53,46.53,46.53,0,46.53
2010-10-21,46.8,47.79,46.8,47.765,4600,47.765
2010-10-22,47.62,47.62,47.62,47.62,0,47.62
