Date,Open,High,Low,Close,Volume,Adj Close
2014-10-16,178.33,178.33,178.33,179.95,1000,179.95
2014-10-22,186.21,186.21,186.21,188.77,300,188.77
2014-10-23,188.83,188.83,188.83,188.49,300,188.49
2014-10-24,187.64,187.64,187.64,188.18,300,188.18
2014-10-27,188.98,188.98,188.98,188.91,300,188.91
2014-10-29,189.88,189.88,189.88,189.09,300,189.09
2014-10-30,189.66,189.66,189.61,193.21,600,193.21
2014-10-31,197.07,197.07,197.07,195.34,300,195.34
2014-11-03,196.37,196.37,196.37,197.34,300,197.34
2014-11-07,199.81,199.81,198.73,199.79,900,199.79
2014-11-19,195.58,195.58,195.58,195.76,300,195.76
2014-12-01,197.98,197.98,197.62,200.03,1200,200.03
2014-12-05,201.56,201.56,201.56,200.41,400,200.41
2014-12-10,201.8,201.8,201.8,201.12,0,201.12
2014-12-11,199.54,199.54,199.54,202.18,400,202.18
2014-12-12,199.18,199.68,199.18,198.91,1200,198.91
2014-12-15,199.99,200.0,199.99,197.28,600,197.28
2014-12-16,196.67,196.67,196.67,197.4,300,197.4
2014-12-18,204.45,204.45,204.45,204.55,300,204.55
2014-12-23,210.09,210.09,210.09,210.52,300,210.52
2014-12-30,218.78,218.78,218.78,216.03,300,216.03
2015-01-05,215.71,215.71,214.91,213.52,900,213.52
2015-01-08,220.44,220.44,220.06,220.1,600,220.1
2015-01-09,218.57,219.62,218.57,216.68,600,216.68
2015-01-14,218.2,218.2,215.9,218.14,900,218.14
2015-01-21,226.31,226.31,226.31,229.41,300,229.41
2015-01-22,229.84,229.84,229.84,233.05,300,233.05
2015-01-23,237.06,238.6,236.78,237.52,300,237.52
2015-01-26,236.98,236.98,236.98,235.5,0,235.5
2015-01-27,235.46,235.46,235.46,233.82,300,233.82
2015-01-28,234.94,234.94,234.94,235.78,300,235.78
2015-01-30,235.84,235.84,234.7,234.3,600,234.3
2015-02-02,240.55,240.55,230.65,231.87,0,231.87
2015-02-03,233.1,233.1,230.67,229.89,900,229.89
2015-02-04,230.85,230.85,230.85,231.14,300,231.14
2015-02-05,229.95,229.95,229.95,229.73,200,229.73
2015-02-06,231.2,232.06,230.99,227.71,1500,227.71
2015-02-09,221.51,222.3,221.51,222.5,600,222.5
2015-02-10,222.46,222.46,222.09,223.27,900,223.27
2015-02-12,220.6,220.95,220.6,218.42,600,218.42
2015-02-17,213.33,213.33,213.33,215.72,1300,215.72
2015-02-18,214.66,214.66,214.41,217.22,900,217.22
2015-02-20,219.05,219.07,217.99,215.87,2700,215.87
2015-02-26,218.79,219.76,218.79,219.22,600,219.22
2015-03-02,218.92,218.92,217.31,214.13,2500,214.13
2015-03-03,214.5,214.5,214.5,215.2,600,215.2
2015-03-04,216.81,217.05,216.81,216.59,600,216.59
