Date,Open,High,Low,Close,Volume,Adj Close
2011-11-10,5.245,5.245,5.245,5.225,200,5.225
2011-12-05,5.2,5.2,5.2,5.225,1000,5.225
2011-12-07,5.17,5.17,5.15,5.135,1200,5.135
2011-12-21,5.06,5.06,5.06,5.02,300,5.02
2011-12-27,5.095,5.095,5.095,5.07,1000,5.07
2012-01-03,5.24,5.24,5.24,5.19,0,5.19
2012-01-09,5.28,5.28,5.28,5.255,0,5.255
2012-01-13,5.36,5.36,5.36,5.32,100,5.32
2012-01-17,5.455,5.455,5.455,5.405,300,5.405
2012-01-18,5.375,5.375,5.375,5.425,100,5.425
2012-01-26,5.535,5.535,5.535,5.58,100,5.58
2012-01-27,5.665,5.665,5.665,5.64,0,5.64
2012-01-30,5.665,5.69,5.665,5.67,1700,5.67
2012-01-31,5.715,5.715,5.715,5.75,100,5.75
2012-02-01,5.815,5.815,5.815,5.83,300,5.83
2012-02-02,5.825,5.825,5.825,5.835,800,5.835
2012-02-03,5.805,5.805,5.805,5.915,0,5.915
2012-02-06,5.9,5.9,5.87,5.855,800,5.855
2012-02-07,5.84,5.84,5.84,5.81,0,5.81
2012-02-08,6.0,6.0,5.86,5.825,1400,5.825
2012-02-09,5.775,5.785,5.775,5.82,1000,5.82
2012-02-10,5.79,5.79,5.79,5.785,100,5.785
2012-02-13,5.945,5.945,5.9,5.88,1200,5.88
2012-02-14,5.91,5.91,5.91,5.905,300,5.905
2012-02-15,5.95,5.95,5.87,5.895,3500,5.895
2012-02-17,5.825,5.825,5.8,5.825,0,5.825
2012-02-20,5.85,5.885,5.85,5.87,2800,5.87
2012-02-22,5.84,5.84,5.84,5.81,300,5.81
2012-02-24,5.9,5.9,5.9,5.905,300,5.905
2012-03-01,6.07,6.1,6.07,6.065,800,6.065
2012-03-02,6.085,6.085,6.08,6.1,200,6.1
2012-03-05,6.06,6.06,6.02,6.04,2800,6.04
2012-03-06,6.03,6.03,6.03,6.03,3000,6.03
2012-03-07,6.115,6.115,6.115,6.095,400,6.095
2012-03-14,6.125,6.125,6.125,6.095,500,6.095
2012-03-16,6.1,6.1,6.1,6.095,200,6.095
2012-03-19,6.06,6.06,6.06,6.035,1000,6.035
2012-03-22,5.98,5.98,5.945,5.97,600,5.97
2012-03-23,5.905,5.92,5.905,5.94,1200,5.94
2012-04-03,6.005,6.005,6.005,5.975,0,5.975
