ticker,dateTime,open,high,low,close,volume
XMBR.MI,18/07/2007,40.18,40.18,40.06,40.06,100
XMBR.MI,19/07/2007,40.97,40.97,40.83,40.83,200
XMBR.MI,20/07/2007,40.63,40.71,40.63,40.71,38
XMBR.MI,23/07/2007,40.71,40.71,40.71,40.71,0
XMBR.MI,24/07/2007,41.36,41.36,41.36,41.36,500
XMBR.MI,25/07/2007,39.57,39.94,39.57,39.86,2800
XMBR.MI,26/07/2007,39.46,39.46,37.63,37.63,500
XMBR.MI,27/07/2007,36.75,38.02,36.75,38.02,135
XMBR.MI,30/07/2007,36.66,36.66,36.66,36.66,10
XMBR.MI,31/07/2007,36.66,36.66,36.66,36.66,0
XMBR.MI,01/08/2007,36.66,36.66,36.66,36.66,0
XMBR.MI,02/08/2007,36.66,36.66,36.66,36.66,0
XMBR.MI,03/08/2007,38.16,38.16,37.63,37.63,375
XMBR.MI,06/08/2007,36.44,36.47,36.44,36.47,367
XMBR.MI,07/08/2007,35.8,35.8,35.8,35.8,32
XMBR.MI,08/08/2007,35.8,35.8,35.8,35.8,0
XMBR.MI,09/08/2007,35.8,35.8,35.8,35.8,0
XMBR.MI,10/08/2007,35.87,35.87,35.11,35.18,10040
XMBR.MI,13/08/2007,35.61,36.19,35.57,36.19,199
XMBR.MI,14/08/2007,35.79,35.79,34.75,34.75,5127
XMBR.MI,16/08/2007,34.25,34.25,31.5,31.5,49
XMBR.MI,17/08/2007,31.44,31.81,31.02,31.02,617
XMBR.MI,20/08/2007,32.26,32.7,32.26,32.7,500
XMBR.MI,21/08/2007,32.04,32.23,32.04,32.23,181
XMBR.MI,22/08/2007,33.17,33.79,32.63,33.77,12305
XMBR.MI,23/08/2007,34.92,34.92,34.49,34.49,10368
XMBR.MI,24/08/2007,34.51,34.51,34.51,34.51,25
XMBR.MI,27/08/2007,36,36,35.54,35.62,775
XMBR.MI,28/08/2007,35.18,35.18,35,35.01,513
XMBR.MI,29/08/2007,35.01,35.01,35.01,35.01,100
XMBR.MI,30/08/2007,35.41,35.76,35.01,35.76,1372
XMBR.MI,31/08/2007,35.84,35.84,35.72,35.72,505
XMBR.MI,03/09/2007,36.57,37.36,36.57,37.28,590
XMBR.MI,04/09/2007,37.04,37.79,37,37.46,31073
XMBR.MI,05/09/2007,37.61,37.61,37.11,37.13,1027
XMBR.MI,06/09/2007,36.73,36.73,36.68,36.68,355
XMBR.MI,07/09/2007,37.14,37.16,36.18,36.18,21786
XMBR.MI,10/09/2007,36.74,36.74,35.88,36.3,70050
XMBR.MI,11/09/2007,36.87,36.87,35.83,35.9,206
XMBR.MI,12/09/2007,36.77,37.32,36.68,37.24,45109
XMBR.MI,13/09/2007,37.17,37.83,37.17,37.83,270
XMBR.MI,14/09/2007,37.83,37.83,37.48,37.52,368
XMBR.MI,17/09/2007,38.48,38.48,37.22,37.31,10243
XMBR.MI,18/09/2007,37.6,37.6,37.6,37.6,2
XMBR.MI,19/09/2007,39.72,40.76,39.69,40.71,5708
XMBR.MI,20/09/2007,39.69,40.09,39.69,40.08,613
XMBR.MI,21/09/2007,39.85,40.14,39.75,39.79,10384
XMBR.MI,24/09/2007,40.19,40.67,40.19,40.59,11353
XMBR.MI,25/09/2007,41.5,41.5,40.26,40.32,13955
XMBR.MI,26/09/2007,41.41,42.08,41.18,42,12983
XMBR.MI,27/09/2007,43,43,42.24,42.32,7254
XMBR.MI,28/09/2007,43.17,43.17,42.44,43.06,16379
XMBR.MI,01/10/2007,42.79,43.58,42.6,43.53,36655
XMBR.MI,02/10/2007,43.6,45.4,43.6,44.79,11592
XMBR.MI,03/10/2007,43.93,46.1,43.7,43.93,11842
XMBR.MI,04/10/2007,43.66,43.98,42.17,43.23,3692
XMBR.MI,05/10/2007,43.1,45,43,43.95,45744
XMBR.MI,08/10/2007,45.1,45.27,44.82,44.86,18977
XMBR.MI,09/10/2007,45.37,46.01,45.35,46.01,4906
XMBR.MI,10/10/2007,46.05,46.28,45.45,45.65,3594
XMBR.MI,11/10/2007,46.37,46.65,45.77,46.41,8026
XMBR.MI,12/10/2007,45.22,45.9,44.77,45.36,30235
XMBR.MI,15/10/2007,45.67,46.24,45.16,45.77,29925
XMBR.MI,16/10/2007,45.31,45.53,44.08,44.75,37024
XMBR.MI,17/10/2007,44,45.46,44,45.25,27686
XMBR.MI,18/10/2007,45.81,45.82,44.44,44.53,26871
XMBR.MI,19/10/2007,45.63,45.97,44.53,45.64,13691
XMBR.MI,22/10/2007,44,44,42.26,43.36,69343
XMBR.MI,23/10/2007,44.14,44.99,43.97,44.76,63555
XMBR.MI,24/10/2007,45,45,44.3,44.74,14644
XMBR.MI,25/10/2007,45.05,45.42,44.71,45.27,23602
XMBR.MI,26/10/2007,45.8,46.13,44.9,45.71,20581
XMBR.MI,29/10/2007,47,48.12,46.85,47.97,8727
XMBR.MI,30/10/2007,48.12,48.2,47.43,47.7,3926
XMBR.MI,31/10/2007,47.02,48.39,46.87,47.99,17539
XMBR.MI,01/11/2007,48.1,48.3,46.57,47.6,23592
XMBR.MI,02/11/2007,46.88,47.58,46,46.41,37538
XMBR.MI,05/11/2007,46.39,46.42,45.53,45.59,9186
XMBR.MI,06/11/2007,45.59,47.5,45.59,47.22,14900
XMBR.MI,07/11/2007,47,47.29,46.06,46.43,64041
XMBR.MI,08/11/2007,45.41,48,45.16,47.2,55190
XMBR.MI,09/11/2007,47.16,47.86,45.91,47.38,44075
XMBR.MI,12/11/2007,47.82,47.87,45.41,46.45,21234
XMBR.MI,13/11/2007,45.5,46.15,43.8,45.29,29864
XMBR.MI,14/11/2007,46.27,47.7,46.05,47.61,18029
XMBR.MI,15/11/2007,47.65,47.65,46.17,46.51,14850
XMBR.MI,16/11/2007,46.58,47.42,46.4,47.27,32528
XMBR.MI,19/11/2007,47.45,47.45,45.47,45.68,14371
XMBR.MI,20/11/2007,45.6,46.11,44.96,46.11,46706
XMBR.MI,21/11/2007,44.76,45.08,42.33,43.39,24392
XMBR.MI,22/11/2007,43.42,43.67,42.67,43.07,55276
XMBR.MI,23/11/2007,43.34,43.7,43,43.34,36540
XMBR.MI,26/11/2007,43.5,43.88,42.46,42.66,22045
XMBR.MI,27/11/2007,42.5,42.5,39.58,39.86,25761
XMBR.MI,28/11/2007,41.27,43.85,41.27,42.69,7035
XMBR.MI,29/11/2007,44.66,44.66,44.06,44.4,7096
XMBR.MI,30/11/2007,45.4,46,44.63,45.8,27770
XMBR.MI,03/12/2007,45.8,45.8,44.79,45.19,13053
XMBR.MI,04/12/2007,46.31,46.31,43.4,44.63,40129
XMBR.MI,05/12/2007,44.67,46.3,44.55,46.07,32318
XMBR.MI,06/12/2007,46.9,47.5,46.5,46.98,17840
XMBR.MI,07/12/2007,46.82,48.51,46.82,48.27,27115
XMBR.MI,10/12/2007,47.8,48.3,47.17,47.91,20417
XMBR.MI,11/12/2007,48.5,48.5,47.5,47.61,5046
XMBR.MI,12/12/2007,47,48.21,46.72,47.76,23126
XMBR.MI,13/12/2007,46.94,46.95,45.76,46.08,52450
XMBR.MI,14/12/2007,46.45,46.45,45.58,46.28,3334
XMBR.MI,17/12/2007,45.58,45.58,44.35,44.59,7329
XMBR.MI,18/12/2007,44.4,44.78,43.31,43.87,43773
XMBR.MI,19/12/2007,44.69,44.74,44.06,44.65,22492
XMBR.MI,20/12/2007,45.26,46.02,44.74,45.85,39662
XMBR.MI,21/12/2007,46.12,46.66,46.1,46.56,22280
XMBR.MI,27/12/2007,47.78,48.01,46.9,47,8340
XMBR.MI,28/12/2007,46.56,48.2,46.56,47.94,988
XMBR.MI,02/01/2008,47.16,47.78,46.18,46.41,82550
XMBR.MI,03/01/2008,45.98,46.19,45.54,45.91,18188
XMBR.MI,04/01/2008,46.13,46.64,43.83,44.16,15239
XMBR.MI,07/01/2008,43.93,45.25,43.4,44.49,36971
XMBR.MI,08/01/2008,45.15,45.65,44.02,44.62,19112
XMBR.MI,09/01/2008,44.53,44.91,44.08,44.52,30480
XMBR.MI,10/01/2008,45.58,45.68,45.03,45.25,34812
XMBR.MI,11/01/2008,45.1,45.9,44.81,45.09,64801
XMBR.MI,14/01/2008,45.4,45.4,44.45,44.94,71404
XMBR.MI,15/01/2008,45.02,45.02,42.93,42.93,43230
XMBR.MI,16/01/2008,42.77,42.77,41.04,41.91,21090
XMBR.MI,17/01/2008,40.87,42.56,40.87,41.94,2499
XMBR.MI,18/01/2008,40.1,41.29,40.09,40.67,26707
XMBR.MI,21/01/2008,41.29,41.29,37.76,38.06,29541
XMBR.MI,22/01/2008,38.1,39.77,36.36,39.57,136250
XMBR.MI,23/01/2008,40,40.3,37.83,38.54,79050
XMBR.MI,24/01/2008,38.71,40.69,38.7,39.55,99160
XMBR.MI,25/01/2008,40.98,42.02,40.98,41.75,36383
XMBR.MI,28/01/2008,40.81,41.2,39.88,40.12,51618
XMBR.MI,29/01/2008,41.66,42.4,41.59,41.98,61453
XMBR.MI,30/01/2008,41.8,42.01,41.64,41.83,47634
XMBR.MI,31/01/2008,42.97,42.97,40.57,41.55,97826
XMBR.MI,01/02/2008,42.64,43.65,42.5,43.22,21326
