ticker,dateTime,open,high,low,close,volume
XMIN.MI,26/01/2011,9.56,9.56,9.525,9.56,4875
XMIN.MI,27/01/2011,9.53,9.59,9.53,9.57,1935
XMIN.MI,28/01/2011,9.57,9.57,9.375,9.46,600
XMIN.MI,31/01/2011,9.465,9.465,9.155,9.18,2428
XMIN.MI,01/02/2011,9.28,9.28,9.26,9.27,3270
XMIN.MI,02/02/2011,9.48,9.48,9.3,9.37,8224
XMIN.MI,03/02/2011,9.35,9.48,9.34,9.46,34715
XMIN.MI,04/02/2011,9.6,9.67,9.55,9.67,4955
XMIN.MI,07/02/2011,9.67,9.795,9.6,9.73,10865
XMIN.MI,08/02/2011,10.01,10.01,9.53,9.53,8103
XMIN.MI,09/02/2011,9.5,9.57,9.33,9.33,7405
XMIN.MI,10/02/2011,9.33,9.33,9.15,9.23,6756
XMIN.MI,11/02/2011,9.34,9.465,9.34,9.44,480
XMIN.MI,14/02/2011,9.55,9.56,9.51,9.51,3549
XMIN.MI,15/02/2011,9.51,9.555,9.49,9.53,1920
XMIN.MI,16/02/2011,9.48,9.59,9.45,9.59,2821
XMIN.MI,17/02/2011,9.61,9.61,9.56,9.57,3830
XMIN.MI,18/02/2011,9.81,9.82,9.75,9.765,6204
XMIN.MI,21/02/2011,9.76,9.76,9.67,9.67,735
XMIN.MI,22/02/2011,9.65,9.65,9.595,9.595,500
XMIN.MI,23/02/2011,9.6,9.71,9.53,9.58,23002
XMIN.MI,24/02/2011,9.41,9.5,9.41,9.465,700
XMIN.MI,25/02/2011,9.53,9.53,9.53,9.53,350
XMIN.MI,28/02/2011,9.6,9.7,9.57,9.68,495
XMIN.MI,01/03/2011,9.77,9.78,9.67,9.685,2901
XMIN.MI,02/03/2011,9.67,9.71,9.66,9.66,2540
XMIN.MI,03/03/2011,9.74,9.77,9.72,9.735,3620
XMIN.MI,04/03/2011,9.77,9.84,9.74,9.74,5440
XMIN.MI,07/03/2011,9.83,9.95,9.83,9.88,7770
XMIN.MI,08/03/2011,10.04,10.04,10.015,10.015,50
XMIN.MI,09/03/2011,10.13,10.13,9.995,9.995,8191
XMIN.MI,10/03/2011,10.16,10.16,10,10.06,3110
XMIN.MI,11/03/2011,9.82,9.92,9.78,9.84,3269
XMIN.MI,14/03/2011,10.04,10.04,9.75,9.75,901
XMIN.MI,15/03/2011,9.73,9.79,9.64,9.675,4350
XMIN.MI,16/03/2011,9.72,9.79,9.655,9.655,1773
XMIN.MI,17/03/2011,9.62,9.62,9.6,9.6,100
XMIN.MI,18/03/2011,9.64,9.64,9.55,9.57,270
XMIN.MI,21/03/2011,9.7,9.74,9.66,9.69,5400
XMIN.MI,22/03/2011,9.7,9.7,9.59,9.635,510
XMIN.MI,23/03/2011,9.89,9.89,9.86,9.875,750
XMIN.MI,24/03/2011,10.1,10.12,10.07,10.11,16565
XMIN.MI,25/03/2011,10.1,10.1,10.01,10.09,3520
XMIN.MI,28/03/2011,10.1,10.14,10.055,10.055,1478
XMIN.MI,29/03/2011,10,10.07,9.96,10.01,5450
XMIN.MI,30/03/2011,10.16,10.16,10.16,10.16,0
XMIN.MI,31/03/2011,10.24,10.24,10.17,10.22,749
XMIN.MI,01/04/2011,10.38,10.49,10.36,10.43,3842
XMIN.MI,04/04/2011,10.37,10.8,10.32,10.335,2260
XMIN.MI,05/04/2011,10.52,10.52,10.27,10.365,10260
XMIN.MI,06/04/2011,10.33,10.345,10.28,10.345,865
XMIN.MI,07/04/2011,10.33,10.35,10.25,10.35,1334
XMIN.MI,08/04/2011,10.35,10.35,10.3,10.325,2017
XMIN.MI,11/04/2011,10.23,10.33,10.23,10.315,2925
XMIN.MI,12/04/2011,10.23,10.23,10.07,10.11,1501
XMIN.MI,13/04/2011,10.2,10.23,10.2,10.23,598
XMIN.MI,14/04/2011,10.2,10.2,10.115,10.115,10
XMIN.MI,15/04/2011,10.19,10.33,10.19,10.285,1230
XMIN.MI,18/04/2011,10.4,10.4,10.26,10.26,85
XMIN.MI,19/04/2011,10.42,10.42,10.36,10.375,6430
XMIN.MI,20/04/2011,10.3,10.5,10.3,10.44,1909
XMIN.MI,21/04/2011,10.39,10.42,10.375,10.375,289
XMIN.MI,26/04/2011,10.33,10.33,10.15,10.275,2550
XMIN.MI,27/04/2011,10.15,10.37,10.15,10.3,3249
XMIN.MI,28/04/2011,10.31,10.31,10.29,10.29,194
XMIN.MI,29/04/2011,10.3,10.4,10.3,10.34,20500
XMIN.MI,02/05/2011,10.37,10.49,10.37,10.375,2859
XMIN.MI,03/05/2011,10.29,10.38,10.29,10.305,1970
XMIN.MI,04/05/2011,10.27,10.33,10.2,10.235,4920
XMIN.MI,05/05/2011,10.22,10.36,10.2,10.35,3362
XMIN.MI,06/05/2011,10.41,10.59,10.41,10.565,1710
XMIN.MI,09/05/2011,10.8,10.8,10.48,10.545,4636
XMIN.MI,10/05/2011,10.57,10.65,10.55,10.605,6629
XMIN.MI,11/05/2011,10.75,10.88,10.75,10.795,5891
XMIN.MI,12/05/2011,10.85,10.85,10.67,10.7,18303
XMIN.MI,13/05/2011,10.75,10.77,10.71,10.71,4843
XMIN.MI,16/05/2011,10.75,10.75,10.63,10.705,3514
XMIN.MI,17/05/2011,10.8,10.8,10.65,10.65,2010
XMIN.MI,18/05/2011,10.75,10.8,10.75,10.8,2779
XMIN.MI,19/05/2011,10.94,10.95,10.85,10.85,1590
XMIN.MI,20/05/2011,10.9,10.97,10.87,10.915,2086
XMIN.MI,23/05/2011,11,11,10.66,10.685,6119
XMIN.MI,24/05/2011,10.68,10.75,10.68,10.69,2725
XMIN.MI,25/05/2011,10.69,10.74,10.65,10.705,3986
XMIN.MI,26/05/2011,10.78,10.79,10.67,10.75,4000
XMIN.MI,27/05/2011,10.74,10.8,10.74,10.79,2706
XMIN.MI,30/05/2011,10.9,10.9,10.725,10.725,2540
XMIN.MI,31/05/2011,10.85,10.85,10.66,10.685,6764
XMIN.MI,01/06/2011,10.85,10.85,10.595,10.595,4671
XMIN.MI,02/06/2011,10.46,10.57,10.46,10.54,1317
XMIN.MI,03/06/2011,10.7,10.7,10.585,10.585,2140
XMIN.MI,06/06/2011,10.585,10.62,10.5,10.58,3156
XMIN.MI,07/06/2011,10.48,10.545,10.48,10.545,2285
XMIN.MI,08/06/2011,10.445,10.53,10.38,10.53,6660
XMIN.MI,09/06/2011,10.46,10.585,10.45,10.585,3700
XMIN.MI,10/06/2011,10.59,10.59,10.49,10.49,2183
XMIN.MI,13/06/2011,10.42,10.53,10.38,10.465,11295
XMIN.MI,14/06/2011,10.49,10.56,10.49,10.515,880
XMIN.MI,15/06/2011,10.7,10.7,10.6,10.64,3889
XMIN.MI,16/06/2011,10.61,10.61,10.57,10.57,100
XMIN.MI,17/06/2011,10.65,10.65,10.41,10.43,24442
XMIN.MI,20/06/2011,10.45,10.47,10.43,10.43,2038
XMIN.MI,21/06/2011,10.52,10.585,10.52,10.585,46899
XMIN.MI,22/06/2011,10.6,10.6,10.545,10.545,1333
XMIN.MI,23/06/2011,10.58,10.665,10.58,10.665,1851
XMIN.MI,24/06/2011,10.7,10.78,10.68,10.71,1880
XMIN.MI,27/06/2011,10.8,10.8,10.62,10.645,6326
XMIN.MI,28/06/2011,10.65,10.73,10.65,10.665,16313
XMIN.MI,29/06/2011,10.83,10.84,10.76,10.805,1905
XMIN.MI,30/06/2011,10.71,10.89,10.71,10.835,3903
XMIN.MI,01/07/2011,10.98,11.08,10.91,11.08,8948
XMIN.MI,04/07/2011,11.08,11.17,11.01,11.145,8654
XMIN.MI,05/07/2011,11.16,11.16,10.92,11.065,4020
XMIN.MI,06/07/2011,11.14,11.14,10.95,11.03,9885
XMIN.MI,07/07/2011,11.17,11.22,11.12,11.195,2223
XMIN.MI,08/07/2011,11.29,11.49,11.29,11.375,4839
XMIN.MI,11/07/2011,11.51,11.58,11.43,11.505,3653
XMIN.MI,12/07/2011,11.45,11.55,11.38,11.48,2952
XMIN.MI,13/07/2011,11.48,11.55,11.48,11.5,2416
XMIN.MI,14/07/2011,11.45,11.51,11.37,11.475,6990
XMIN.MI,15/07/2011,11.5,11.68,11.5,11.55,7171
XMIN.MI,18/07/2011,11.55,11.55,11.55,11.55,0
XMIN.MI,19/07/2011,11.66,11.66,11.4,11.47,8600
XMIN.MI,20/07/2011,11.51,11.57,11.47,11.515,6042
XMIN.MI,21/07/2011,11.52,11.67,11.52,11.605,1827
XMIN.MI,22/07/2011,11.61,11.63,11.54,11.63,11626
XMIN.MI,25/07/2011,11.61,11.61,11.49,11.585,42634
XMIN.MI,26/07/2011,11.48,11.66,11.48,11.615,5331
XMIN.MI,27/07/2011,11.89,11.89,11.695,11.78,5563
XMIN.MI,28/07/2011,11.9,11.9,11.73,11.84,2711
XMIN.MI,29/07/2011,11.63,11.82,11.63,11.805,97625
XMIN.MI,01/08/2011,11.84,12.02,11.84,11.97,25619
XMIN.MI,02/08/2011,12.18,12.18,12,12.03,14158
XMIN.MI,03/08/2011,12,12.07,11.75,11.75,8955
XMIN.MI,04/08/2011,11.71,11.77,11.55,11.64,17250
XMIN.MI,05/08/2011,11.5,11.5,10.97,10.97,15902
XMIN.MI,08/08/2011,10.85,11,10.65,10.79,48054
XMIN.MI,09/08/2011,10.55,10.97,10.4,10.695,12066
XMIN.MI,10/08/2011,10.85,11.05,10.63,10.68,17497
XMIN.MI,11/08/2011,11,11.22,10.73,11.195,29200
XMIN.MI,12/08/2011,11,11.185,10.955,11.14,76141
XMIN.MI,16/08/2011,11.2,11.2,11.14,11.16,5235
XMIN.MI,17/08/2011,11.15,11.23,11.15,11.175,8193
XMIN.MI,18/08/2011,11.19,11.27,11,11.035,94917
XMIN.MI,19/08/2011,10.865,10.865,10.64,10.82,12365
XMIN.MI,22/08/2011,10.5,10.8,10.5,10.65,4439
XMIN.MI,23/08/2011,10.82,10.82,10.7,10.75,2400
XMIN.MI,24/08/2011,10.7,10.77,10.7,10.77,390
XMIN.MI,25/08/2011,10.645,10.665,10.53,10.57,2710
XMIN.MI,26/08/2011,10.7,10.78,10.7,10.74,1010
XMIN.MI,29/08/2011,10.8,10.9,10.8,10.86,16200
XMIN.MI,30/08/2011,10.895,10.98,10.83,10.94,17740
XMIN.MI,31/08/2011,11.13,11.13,11.005,11.11,359
XMIN.MI,01/09/2011,11.145,11.275,11.145,11.185,16337
XMIN.MI,02/09/2011,11.23,11.23,10.92,11.05,5112
XMIN.MI,05/09/2011,10.96,10.985,10.86,10.93,12249
XMIN.MI,06/09/2011,10.96,11.07,10.96,11.07,30030
XMIN.MI,07/09/2011,11.32,11.53,11.205,11.475,59282
XMIN.MI,08/09/2011,11.34,11.55,11.32,11.465,16640
XMIN.MI,09/09/2011,11.6,11.61,11.405,11.405,14595
XMIN.MI,12/09/2011,11.305,11.355,11.195,11.325,11333
XMIN.MI,13/09/2011,11.28,11.28,11.13,11.2,4200
XMIN.MI,14/09/2011,10.775,10.795,10.62,10.665,16055
XMIN.MI,15/09/2011,10.59,10.65,10.275,10.47,57143
XMIN.MI,16/09/2011,10.61,10.85,10.61,10.77,11573
XMIN.MI,19/09/2011,10.56,10.56,10.33,10.395,945
XMIN.MI,20/09/2011,10.165,10.555,10.09,10.475,4913
XMIN.MI,21/09/2011,10.16,10.29,9.81,9.81,2953
XMIN.MI,22/09/2011,9.375,9.54,8.945,8.995,76449
XMIN.MI,23/09/2011,9.51,9.52,9.075,9.255,125123
XMIN.MI,26/09/2011,9.255,9.255,8.99,9,67610
XMIN.MI,27/09/2011,9.73,10.005,9.68,10.005,8624
XMIN.MI,28/09/2011,10.03,10.03,9.84,9.87,707
