Date,Open,High,Low,Close,Volume,Adj Close
2007-02-15,39.83,39.83,39.83,39.83,0,39.83
2007-02-16,40.07,40.07,40.07,40.07,200,40.07
2007-02-19,40.25,40.25,40.11,40.12,400,40.12
2007-02-20,40.07,40.08,39.95,39.95,500,39.95
2007-02-21,40.01,40.01,39.95,39.95,300,39.95
2007-02-22,40.24,40.24,40.24,40.24,200,40.24
2007-02-23,40.46,41.27,40.27,40.29,1100,40.29
2007-02-26,40.56,40.56,40.56,40.56,200,40.56
2007-02-27,40.54,40.54,40.41,40.41,100,40.41
2007-02-28,40.0,40.02,39.54,39.54,100,39.54
2007-03-01,39.3,39.74,39.1,39.74,500,39.74
2007-03-02,39.04,39.09,39.04,39.09,500,39.09
2007-03-05,38.54,38.69,38.54,38.69,100,38.69
2007-03-06,39.2,39.2,39.14,39.14,700,39.14
2007-03-07,39.16,39.21,39.16,39.21,500,39.21
2007-03-08,39.5,39.6,39.5,39.6,600,39.6
2007-03-09,39.62,39.7,39.62,39.62,0,39.62
2007-03-12,39.6,39.71,39.6,39.6,0,39.6
2007-03-13,39.38,39.38,39.38,39.38,100,39.38
2007-03-14,38.65,38.65,38.45,38.61,100,38.61
2007-03-15,38.61,38.69,38.61,38.61,0,38.61
2007-03-16,38.03,38.55,38.03,38.03,0,38.03
2007-03-19,38.67,38.67,38.6,38.6,0,38.6
2007-03-20,38.61,38.61,38.61,38.61,0,38.61
2007-03-21,38.76,38.93,38.75,38.93,22300,38.93
2007-03-22,39.16,39.34,39.16,39.34,20100,39.34
2007-03-23,39.4,39.5,39.4,39.5,500,39.5
2007-03-26,39.38,39.47,39.32,39.32,20200,39.32
2007-03-27,39.02,39.03,38.98,39.0,30600,39.0
2007-03-28,38.76,38.76,38.69,38.69,700,38.69
2007-03-29,39.01,39.01,38.95,38.95,100,38.95
2007-03-30,38.83,38.83,38.83,38.83,0,38.83
2007-04-02,38.39,38.39,38.25,38.25,300,38.25
2007-04-03,38.49,38.73,38.49,38.73,500,38.73
2007-04-04,38.9,38.9,38.9,38.9,100,38.9
2007-04-05,38.5,38.54,38.42,38.54,100,38.54
2007-04-10,38.66,38.74,38.66,38.74,0,38.74
2007-04-11,38.71,38.85,38.65,38.65,20500,38.65
2007-04-12,38.25,38.31,38.25,38.31,60000,38.31
2007-04-13,38.22,38.22,38.0,38.0,200,38.0
2007-04-16,37.88,38.36,37.88,38.36,40600,38.36
2007-04-17,38.31,38.31,38.02,38.07,2000,38.07
2007-04-18,38.22,38.22,38.22,38.22,0,38.22
2007-04-19,37.7,37.79,37.16,37.79,23300,37.79
2007-04-20,37.78,38.01,37.71,38.01,700,38.01
2007-04-23,38.34,38.34,37.8,37.83,700,37.83
2007-04-24,37.79,37.79,37.44,37.51,9600,37.51
2007-04-25,37.35,37.43,37.35,37.35,0,37.35
2007-04-26,37.53,37.53,37.45,37.45,500,37.45
2007-04-27,36.99,37.15,36.99,36.99,0,36.99
2007-04-30,37.45,37.45,37.16,37.16,20100,37.16
2007-05-02,37.36,37.36,37.36,37.36,0,37.36
2007-05-03,37.43,37.51,37.43,37.43,0,37.43
2007-05-04,37.75,37.75,37.75,37.75,100,37.75
2007-05-07,37.78,37.78,37.72,37.73,600,37.73
2007-05-08,37.73,37.82,37.73,37.82,40100,37.82
2007-05-09,38.1,38.37,38.1,38.37,700,38.37
2007-05-10,38.14,38.28,38.14,38.28,200,38.28
2007-05-11,38.03,38.03,37.9,37.9,20200,37.9
2007-05-14,37.82,37.87,37.82,37.82,0,37.82
2007-05-15,37.49,37.53,37.49,37.49,0,37.49
2007-05-16,37.42,37.42,37.32,37.32,100,37.32
2007-05-17,37.32,37.33,37.32,37.33,200,37.33
2007-05-18,37.18,37.18,37.18,37.18,0,37.18
2007-05-21,37.4,37.4,37.35,37.35,300,37.35
2007-05-22,37.89,37.89,37.85,37.85,800,37.85
2007-05-23,37.98,38.04,37.98,37.98,0,37.98
2007-05-24,37.95,37.95,37.95,37.95,40000,37.95
2007-05-25,37.57,37.57,37.46,37.46,10000,37.46
2007-05-28,37.72,37.72,37.72,37.72,0,37.72
2007-05-29,37.92,37.92,37.92,37.92,40000,37.92
2007-05-30,37.79,37.9,37.79,37.9,200,37.9
2007-05-31,38.3,38.3,38.3,38.3,1900,38.3
2007-06-01,38.3,38.71,38.0,38.3,700,38.3
2007-06-04,38.58,38.58,38.51,38.51,0,38.51
2007-06-05,38.64,38.64,38.44,38.44,300,38.44
2007-06-06,38.47,38.54,38.31,38.31,200,38.31
2007-06-07,38.45,38.55,38.45,38.45,0,38.45
2007-06-08,38.35,38.56,38.35,38.48,1000,38.48
2007-06-11,38.6,38.77,38.6,38.77,200,38.77
2007-06-12,38.52,38.52,38.42,38.51,300,38.51
2007-06-13,38.31,38.37,38.31,38.31,0,38.31
2007-06-14,38.53,38.58,38.53,38.53,0,38.53
2007-06-15,38.7,38.76,38.7,38.76,200,38.76
2007-06-18,38.36,38.48,38.36,38.36,0,38.36
2007-06-19,38.34,38.38,38.34,38.38,2900,38.38
2007-06-20,38.54,38.54,38.38,38.38,30000,38.38
2007-06-21,38.4,38.4,38.4,38.4,0,38.4
2007-06-22,37.94,38.0,37.94,37.94,0,37.94
2007-06-25,37.91,37.92,37.81,37.92,200,37.92
2007-06-26,37.9,37.94,37.9,37.9,0,37.9
2007-06-27,37.69,37.69,37.66,37.66,400,37.66
2007-06-28,37.77,37.84,37.77,37.77,0,37.77
2007-06-29,37.9,37.95,37.9,37.95,2900,37.95
2007-07-02,38.19,38.19,38.11,38.11,600,38.11
2007-07-03,38.36,38.36,38.25,38.34,200,38.34
2007-07-04,38.2,38.21,38.2,38.21,500,38.21
2007-07-05,38.2,38.2,38.12,38.12,500,38.12
2007-07-06,37.97,37.98,37.97,37.98,100,37.98
2007-07-09,38.17,38.17,38.17,38.17,0,38.17
2007-07-10,37.77,37.85,37.77,37.77,0,37.77
2007-07-11,37.6,37.6,37.47,37.47,0,37.47
2007-07-12,37.49,37.49,37.44,37.44,31200,37.44
2007-07-13,37.76,37.81,37.76,37.81,0,37.81
2007-07-16,38.12,38.23,37.93,37.93,15700,37.93
2007-07-17,37.64,37.69,37.64,37.64,0,37.64
2007-07-18,37.35,37.45,37.35,37.45,900,37.45
2007-07-19,37.5,37.5,37.5,37.5,0,37.5
2007-07-20,37.69,37.69,37.59,37.59,3100,37.59
2007-07-23,37.63,37.7,37.63,37.63,0,37.63
2007-07-24,37.77,37.77,37.77,37.77,500,37.77
2007-07-25,37.62,37.62,37.62,37.62,0,37.62
2007-07-26,37.18,37.24,37.18,37.18,0,37.18
2007-07-27,37.0,37.29,37.0,37.24,1100,37.24
2007-07-30,37.67,37.67,37.43,37.55,200,37.55
2007-07-31,37.57,37.58,37.56,37.56,600,37.56
2007-08-01,36.8,36.8,36.77,36.77,100,36.77
2007-08-02,36.63,36.75,36.63,36.63,0,36.63
2007-08-03,36.26,36.33,36.26,36.26,0,36.26
2007-08-06,36.45,36.66,36.45,36.45,0,36.45
2007-08-07,36.02,36.5,36.02,36.36,80600,36.36
2007-08-08,36.6,36.6,36.6,36.6,0,36.6
2007-08-09,37.01,37.01,37.01,37.01,1400,37.01
2007-08-10,36.64,36.64,35.78,35.92,1600,35.92
2007-08-13,36.39,36.39,36.21,36.21,0,36.21
2007-08-14,36.24,36.38,36.24,36.24,0,36.24
2007-08-16,35.77,35.77,35.75,35.77,40100,35.77
2007-08-17,34.97,35.8,34.97,35.51,600,35.51
2007-08-20,34.72,34.72,34.72,34.72,0,34.72
2007-08-21,35.83,35.83,35.6,35.83,20000,35.83
2007-08-22,36.18,36.18,35.95,36.13,100,36.13
2007-08-23,36.55,36.55,36.38,36.43,20000,36.43
2007-08-24,36.01,36.04,36.01,36.01,0,36.01
2007-08-27,36.27,36.27,35.88,35.88,0,35.88
2007-08-28,35.83,35.83,35.83,35.83,0,35.83
2007-08-29,35.75,35.75,35.7,35.7,100,35.7
2007-08-30,35.83,35.86,35.73,35.75,400,35.75
2007-08-31,36.17,36.4,36.17,36.39,800,36.39
2007-09-03,36.27,36.38,36.27,36.27,100,36.27
2007-09-04,36.23,36.23,36.23,36.23,0,36.23
2007-09-05,35.45,35.55,35.45,35.45,0,35.45
2007-09-06,36.0,36.0,36.0,36.0,300,36.0
2007-09-07,35.36,35.36,34.79,34.83,500,34.83
2007-09-10,34.8,34.8,34.79,34.79,0,34.79
2007-09-11,34.97,34.97,34.97,34.97,100,34.97
2007-09-12,34.68,34.7,34.68,34.68,0,34.68
2007-09-13,34.23,34.23,34.23,34.23,100,34.23
2007-09-14,34.62,34.62,34.62,34.62,0,34.62
2007-09-17,35.02,35.02,34.0,34.29,20200,34.29
2007-09-18,34.3,34.3,34.3,34.3,0,34.3
2007-09-19,34.82,34.82,34.74,34.74,100,34.74
2007-09-20,34.72,34.85,34.72,34.72,0,34.72
2007-09-21,34.49,34.74,34.49,34.49,0,34.49
2007-09-24,34.51,34.64,34.51,34.64,36200,34.64
2007-09-25,35.01,35.01,34.66,34.66,0,34.66
2007-09-26,35.17,35.18,35.12,35.12,87000,35.12
2007-09-27,35.71,35.71,35.69,35.71,500,35.71
2007-09-28,35.47,35.69,35.47,35.69,20000,35.69
2007-10-01,36.58,36.58,35.38,35.38,100,35.38
2007-10-02,36.24,36.24,36.14,36.14,0,36.14
2007-10-03,36.15,36.15,36.0,36.01,200,36.01
2007-10-04,36.2,36.33,36.2,36.21,300,36.21
2007-10-05,36.27,36.45,36.27,36.27,0,36.27
2007-10-08,36.32,36.44,36.21,36.4,52800,36.4
2007-10-09,36.4,36.4,36.3,36.3,200,36.3
2007-10-10,36.1,36.1,35.97,35.99,1100,35.99
2007-10-11,36.51,36.54,36.45,36.48,12200,36.48
2007-10-12,36.01,36.01,35.8,35.94,1600,35.94
2007-10-15,35.85,35.93,35.68,35.7,500,35.7
2007-10-16,35.16,35.22,35.16,35.22,700,35.22
2007-10-17,35.05,35.06,34.96,34.99,3200,34.99
2007-10-18,35.22,35.22,35.05,35.06,5700,35.06
2007-10-19,34.86,34.86,34.84,34.84,5400,34.84
2007-10-22,34.49,34.84,34.49,34.55,11900,34.55
2007-10-23,34.79,34.79,34.79,34.79,3000,34.79
2007-10-24,34.68,34.68,34.6,34.6,4000,34.6
2007-10-25,34.23,34.26,34.17,34.18,13300,34.18
2007-10-26,34.51,34.53,34.51,34.53,3100,34.53
2007-10-29,35.25,35.25,35.07,35.13,3700,35.13
2007-10-30,35.19,35.19,35.11,35.11,0,35.11
2007-10-31,35.02,35.17,35.02,35.02,0,35.02
2007-11-01,35.22,35.22,34.81,34.81,200,34.81
2007-11-02,34.39,34.46,34.33,34.44,2000,34.44
2007-11-05,34.02,34.17,34.02,34.02,200,34.02
2007-11-06,34.05,34.14,33.98,34.01,3800,34.01
2007-11-07,33.75,33.75,33.73,33.73,0,33.73
2007-11-08,32.92,33.02,32.92,32.92,0,32.92
2007-11-09,32.28,32.36,32.23,32.32,5600,32.32
2007-11-12,32.39,32.67,32.39,32.53,4200,32.53
2007-11-13,32.49,32.77,32.45,32.52,4600,32.52
2007-11-14,33.17,33.25,33.03,33.03,19600,33.03
2007-11-15,32.96,33.02,32.93,32.93,15600,32.93
2007-11-16,32.79,32.79,32.79,32.79,0,32.79
2007-11-19,32.16,32.16,32.16,32.16,0,32.16
2007-11-20,32.23,32.23,32.23,32.23,3000,32.23
2007-11-21,31.55,31.92,31.55,31.55,0,31.55
2007-11-22,31.91,31.91,31.82,31.89,6100,31.89
2007-11-23,31.91,32.39,31.91,32.07,48000,32.07
2007-11-26,32.82,32.82,32.82,32.82,0,32.82
2007-11-27,33.06,33.06,32.68,32.82,26300,32.82
2007-11-28,32.83,33.29,32.83,33.29,12000,33.29
2007-11-29,33.61,33.74,33.59,33.68,48100,33.68
2007-11-30,34.06,34.06,34.06,34.06,3000,34.06
2007-12-03,34.31,34.31,33.94,33.94,21200,33.94
2007-12-04,33.68,33.68,33.52,33.53,3500,33.53
2007-12-05,33.92,33.92,33.92,33.92,100,33.92
2007-12-06,34.49,35.0,34.33,34.44,4300,34.44
2007-12-07,34.43,34.43,34.3,34.34,700,34.34
2007-12-10,34.23,34.3,34.23,34.24,6000,34.24
2007-12-11,34.34,34.34,34.34,34.34,700,34.34
2007-12-12,34.19,34.21,34.18,34.21,31300,34.21
2007-12-13,33.26,33.32,33.26,33.32,3700,33.32
2007-12-14,33.0,33.0,32.85,32.88,18000,32.88
2007-12-17,32.52,32.52,32.44,32.46,10000,32.46
2007-12-18,32.36,32.44,32.36,32.42,0,32.42
2007-12-19,32.27,32.4,32.2,32.4,12000,32.4
2007-12-20,32.47,32.58,32.47,32.56,12000,32.56
2007-12-21,32.67,32.67,32.67,32.67,700,32.67
2007-12-27,32.66,32.71,32.5,32.5,100,32.5
2007-12-28,32.01,32.13,32.01,32.01,0,32.01
2008-01-02,32.55,32.55,32.15,32.29,3200,32.29
2008-01-03,32.24,32.46,32.15,32.16,79900,32.16
2008-01-04,32.0,32.11,31.7,31.75,61800,31.75
2008-01-07,31.18,31.24,31.09,31.19,16800,31.19
2008-01-08,31.37,31.58,31.37,31.51,51700,31.51
2008-01-09,31.84,31.89,31.76,31.86,17600,31.86
2008-01-10,31.27,31.38,31.18,31.19,24100,31.19
2008-01-11,31.11,31.11,30.88,31.0,24000,31.0
2008-01-14,30.77,31.09,30.77,30.98,21000,30.98
2008-01-15,30.81,30.81,30.15,30.15,38900,30.15
2008-01-16,29.41,30.0,29.41,29.7,25800,29.7
2008-01-17,30.48,30.53,30.0,30.23,17800,30.23
2008-01-18,30.3,30.55,30.3,30.47,78200,30.47
2008-01-21,29.66,29.79,29.13,29.31,23700,29.31
2008-01-22,28.1,29.52,28.1,29.02,60800,29.02
2008-01-23,29.0,29.0,28.6,28.79,14000,28.79
2008-01-24,29.37,29.8,29.37,29.62,29500,29.62
2008-01-25,30.73,30.73,30.5,30.54,14600,30.54
2008-01-28,29.81,29.9,29.52,29.59,19100,29.59
2008-01-29,30.22,30.39,30.19,30.35,11900,30.35
2008-01-30,30.1,30.1,29.99,29.99,6500,29.99
2008-01-31,30.42,30.42,30.19,30.19,10400,30.19
2008-02-01,30.46,30.77,30.46,30.71,62300,30.71
2008-02-04,30.95,31.04,30.84,30.94,19400,30.94
2008-02-05,30.73,30.88,30.68,30.78,26300,30.78
2008-02-06,29.97,30.18,29.83,30.04,16300,30.04
2008-02-07,29.95,30.05,29.8,29.96,13900,29.96
2008-02-08,29.88,29.88,29.65,29.71,15400,29.71
2008-02-11,29.88,29.88,29.44,29.74,112100,29.74
2008-02-12,29.67,30.0,29.63,29.98,7400,29.98
2008-02-13,29.7,29.86,29.6,29.81,7900,29.81
2008-02-14,30.23,30.45,30.05,30.37,8000,30.37
2008-02-15,30.31,30.32,30.03,30.15,22400,30.15
2008-02-18,30.22,30.6,30.22,30.6,17100,30.6
2008-02-19,30.64,30.73,30.39,30.53,17800,30.53
