Date,Open,High,Low,Close,Volume,Adj Close
2007-10-24,41.79,42.0,41.79,41.79,0,41.79
2007-10-25,42.26,42.42,42.26,42.26,0,42.26
2007-10-26,42.56,42.72,42.56,42.56,0,42.56
2007-10-29,42.47,42.47,42.47,42.47,0,42.47
2007-10-30,42.62,42.62,42.44,42.44,100,42.44
2007-10-31,41.95,41.95,41.95,41.95,100,41.95
2007-11-01,42.32,42.52,42.32,42.33,100,42.33
2007-11-02,41.68,41.79,41.68,41.68,0,41.68
2007-11-05,41.65,41.65,41.65,41.65,1000,41.65
2007-11-06,41.83,41.83,41.83,41.83,0,41.83
2007-11-07,42.44,42.65,42.44,42.44,0,42.44
2007-11-08,41.33,41.44,41.33,41.33,0,41.33
2007-11-09,39.98,40.08,39.98,39.98,0,39.98
2007-11-12,39.8,39.9,39.8,39.8,0,39.8
2007-11-13,39.49,39.84,39.45,39.47,3500,39.47
2007-11-14,41.25,41.25,40.55,40.67,9900,40.67
2007-11-15,39.99,39.99,39.99,39.99,100,39.99
2007-11-16,39.7,39.7,39.67,39.67,0,39.67
2007-11-19,39.07,39.21,39.07,39.07,0,39.07
2007-11-20,38.66,38.8,38.66,38.66,0,38.66
2007-11-21,39.67,39.67,39.67,39.67,0,39.67
2007-11-22,39.67,39.67,39.67,39.67,0,39.67
2007-11-23,37.8,37.8,37.75,37.75,0,37.75
2007-11-26,38.43,38.43,38.43,38.43,0,38.43
2007-11-27,38.43,38.43,38.43,38.43,0,38.43
2007-11-28,38.43,38.43,38.43,38.43,0,38.43
2007-11-29,38.43,38.43,38.43,38.43,0,38.43
2007-11-30,38.43,38.43,38.43,38.43,0,38.43
2007-12-03,38.43,38.43,38.43,38.43,0,38.43
2007-12-04,38.43,38.43,38.43,38.43,0,38.43
2007-12-05,38.43,38.43,38.43,38.43,0,38.43
2007-12-06,39.27,39.27,39.27,39.27,100,39.27
2007-12-07,39.3,39.55,39.3,39.3,0,39.3
2007-12-10,39.82,40.07,39.82,39.82,0,39.82
2007-12-11,39.91,40.09,39.91,39.91,0,39.91
2007-12-12,39.77,40.15,39.77,39.77,0,39.77
2007-12-13,38.67,39.0,38.67,38.67,0,38.67
2007-12-14,38.95,39.17,38.95,38.95,0,38.95
2007-12-17,38.15,38.15,38.15,38.15,0,38.15
2007-12-18,37.26,37.47,37.26,37.26,0,37.26
2007-12-19,37.49,37.66,37.49,37.49,0,37.49
2007-12-20,37.89,38.06,37.89,37.89,0,37.89
2007-12-21,38.85,39.03,38.85,38.85,0,38.85
2007-12-27,38.97,38.97,38.97,38.97,100,38.97
2007-12-28,38.35,38.68,38.35,38.35,0,38.35
2008-01-02,37.46,37.68,37.46,37.46,0,37.46
2008-01-03,37.4,37.57,37.4,37.4,0,37.4
2008-01-04,36.07,36.28,36.07,36.07,0,36.07
2008-01-07,34.83,35.11,34.83,34.83,0,34.83
2008-01-08,35.29,35.45,35.29,35.29,0,35.29
2008-01-09,34.15,34.36,34.15,34.15,0,34.15
2008-01-10,34.24,34.45,34.24,34.24,0,34.24
2008-01-11,34.24,34.4,34.24,34.24,0,34.24
2008-01-14,34.96,35.12,34.96,34.96,0,34.96
2008-01-15,34.43,34.59,34.43,34.43,0,34.43
2008-01-16,38.97,38.97,38.97,38.97,0,38.97
2008-01-17,34.04,34.55,34.04,34.04,0,34.04
2008-01-18,33.7,34.03,33.7,33.7,0,33.7
2008-01-21,38.97,38.97,38.97,38.97,0,38.97
2008-01-22,31.16,32.01,31.16,32.01,5000,32.01
2008-01-23,31.85,31.85,31.85,31.85,0,31.85
