ticker,dateTime,open,high,low,close,volume
XSPS.MI,14/03/2008,38.24,39.51,38.18,38.75,1504
XSPS.MI,17/03/2008,39.25,39.56,38.32,39.37,5646
XSPS.MI,18/03/2008,38.14,38.22,37.81,37.83,607
XSPS.MI,19/03/2008,37.55,37.82,37.09,37.31,2446
XSPS.MI,20/03/2008,38.5,38.9,38.42,38.65,1628
XSPS.MI,25/03/2008,38.65,38.65,36.95,37.11,4009
XSPS.MI,26/03/2008,38.11,38.11,36.82,37.02,4763
XSPS.MI,27/03/2008,36.75,37,36.7,36.85,642
XSPS.MI,28/03/2008,37.04,37.25,37.04,37.25,385
XSPS.MI,31/03/2008,37.69,37.7,37.69,37.7,350
XSPS.MI,01/04/2008,37.35,37.35,37,37.19,4144
XSPS.MI,02/04/2008,35.5,36.65,35.5,36.41,2450
XSPS.MI,03/04/2008,36.46,36.79,36.46,36.65,3201
XSPS.MI,04/04/2008,36.35,36.35,36,36.21,18366
XSPS.MI,07/04/2008,35.91,36.06,35.91,35.94,4272
XSPS.MI,08/04/2008,36.06,36.52,36.06,36.44,430
XSPS.MI,09/04/2008,36.41,36.41,36.3,36.33,525
XSPS.MI,10/04/2008,36.31,36.43,36.2,36.28,1253
XSPS.MI,11/04/2008,36.7,36.7,36.54,36.6,279
XSPS.MI,14/04/2008,37.21,37.21,36.97,36.97,1170
XSPS.MI,15/04/2008,36.9,37.17,36,37.13,2274
XSPS.MI,16/04/2008,36.93,36.93,36.12,36.15,2835
XSPS.MI,17/04/2008,35.82,36.1,35.75,35.79,1617
XSPS.MI,18/04/2008,35.8,35.8,35.58,35.59,758
XSPS.MI,21/04/2008,35.51,35.51,35.35,35.39,932
XSPS.MI,22/04/2008,35.37,35.49,35.37,35.49,665
XSPS.MI,23/04/2008,35.53,35.57,35.52,35.57,190
XSPS.MI,24/04/2008,35.95,36.07,35.95,36.07,1020
XSPS.MI,25/04/2008,35.8,35.98,35.73,35.94,345
XSPS.MI,28/04/2008,36.05,36.05,35.44,35.59,740
XSPS.MI,29/04/2008,35.95,35.95,35.95,35.95,1112
XSPS.MI,30/04/2008,35.84,36.04,35.78,35.78,156
XSPS.MI,02/05/2008,35.41,35.62,35.21,35.46,761
XSPS.MI,05/05/2008,35.66,35.66,35.6,35.6,90
XSPS.MI,06/05/2008,35.78,35.78,35.65,35.65,177
XSPS.MI,07/05/2008,35.58,35.62,35.58,35.62,41
XSPS.MI,08/05/2008,36.31,36.36,36.2,36.2,3862
XSPS.MI,09/05/2008,36.36,36.36,36.33,36.36,567
XSPS.MI,12/05/2008,36.21,36.34,36.09,36.09,781
XSPS.MI,13/05/2008,35.79,36.07,35.68,36.04,235
XSPS.MI,14/05/2008,35.55,35.55,35.04,35.2,2627
XSPS.MI,15/05/2008,35.64,35.64,35.64,35.64,200
XSPS.MI,16/05/2008,35.3,35.3,35.05,35.1,170
XSPS.MI,19/05/2008,34.93,34.93,34.93,34.93,90
XSPS.MI,20/05/2008,35,35.15,34.94,35.15,2902
XSPS.MI,21/05/2008,35.94,35.94,34.91,34.99,2058
XSPS.MI,22/05/2008,36,36,35.28,35.44,623
XSPS.MI,23/05/2008,34.56,35.76,34.56,35.75,2585
XSPS.MI,26/05/2008,37.1,37.1,35.78,35.9,1825
XSPS.MI,27/05/2008,36.15,36.15,35.69,35.97,3404
XSPS.MI,28/05/2008,35.76,35.78,35.76,35.76,411
XSPS.MI,29/05/2008,36.01,36.06,36.01,36.06,122
XSPS.MI,30/05/2008,36,36,35.8,35.82,1267
XSPS.MI,02/06/2008,35.94,36.19,35.8,36.05,3514
XSPS.MI,03/06/2008,36.09,36.33,35.92,36.25,2299
XSPS.MI,04/06/2008,36.66,36.72,36.39,36.43,13113
XSPS.MI,05/06/2008,36.5,36.62,35.95,35.95,6889
XSPS.MI,06/06/2008,35.45,35.87,35.4,35.81,4650
XSPS.MI,09/06/2008,35.96,36.23,35.96,36.21,2688
XSPS.MI,10/06/2008,36.5,37.14,36.5,36.94,13798
XSPS.MI,11/06/2008,36.84,37.25,36.84,37.19,2842
XSPS.MI,12/06/2008,37.5,37.79,37.3,37.66,2385
XSPS.MI,13/06/2008,37.88,37.88,37.3,37.43,1972
XSPS.MI,16/06/2008,37.15,37.2,36.94,37.02,2676
XSPS.MI,17/06/2008,36.6,36.89,36.6,36.74,330
XSPS.MI,18/06/2008,37.14,37.46,37.14,37.46,3161
XSPS.MI,19/06/2008,38,38,37.46,37.47,10267
XSPS.MI,20/06/2008,37.4,37.4,37.19,37.39,1554
XSPS.MI,23/06/2008,37.73,38.05,37.7,38.03,3753
XSPS.MI,24/06/2008,38.15,38.15,37.87,37.91,1947
XSPS.MI,25/06/2008,37.94,37.94,37.54,37.54,1537
XSPS.MI,26/06/2008,36.58,38.09,36.58,38.04,2495
XSPS.MI,27/06/2008,38.3,38.6,38.3,38.54,1899
XSPS.MI,30/06/2008,39,39,38.25,38.33,3536
XSPS.MI,01/07/2008,38.52,38.88,38.46,38.66,2970
XSPS.MI,02/07/2008,38.15,38.2,37.94,37.96,1297
XSPS.MI,03/07/2008,38.81,39.19,38.73,38.95,2485
XSPS.MI,04/07/2008,39.47,39.47,39.19,39.32,3967
XSPS.MI,07/07/2008,39.34,39.37,39.08,39.08,4164
XSPS.MI,08/07/2008,39.7,39.81,39.5,39.71,5343
XSPS.MI,09/07/2008,38.51,39.65,38.51,38.67,4496
XSPS.MI,10/07/2008,39.78,39.78,39.49,39.55,2407
XSPS.MI,11/07/2008,39.65,39.65,39.25,39.52,4515
XSPS.MI,14/07/2008,39.5,39.7,39.31,39.51,1636
XSPS.MI,15/07/2008,39.99,40.2,39.56,39.99,4775
XSPS.MI,16/07/2008,40.18,40.29,40,40.04,28323
XSPS.MI,17/07/2008,39.31,39.54,39.1,39.17,13671
XSPS.MI,18/07/2008,39.27,39.34,38.9,39.06,9459
XSPS.MI,21/07/2008,38.85,38.97,38.82,38.9,19235
XSPS.MI,22/07/2008,39.25,39.39,39.25,39.35,1632
XSPS.MI,23/07/2008,38.79,38.97,38.7,38.75,1464
XSPS.MI,24/07/2008,39.07,39.07,38.97,38.99,416
XSPS.MI,25/07/2008,39.7,39.7,39.42,39.5,184
XSPS.MI,28/07/2008,39.5,40,39.37,39.54,700
XSPS.MI,29/07/2008,39.78,40.05,39.73,39.73,5162
XSPS.MI,30/07/2008,39.29,39.44,39,39.01,1677
XSPS.MI,31/07/2008,39.99,39.99,38.57,38.62,3014
XSPS.MI,01/08/2008,38.62,39.53,38.62,39.53,860
XSPS.MI,04/08/2008,39.42,39.61,39.41,39.45,1080
XSPS.MI,05/08/2008,39.99,39.99,39.47,39.71,8177
XSPS.MI,06/08/2008,40.18,40.18,38.85,39.26,2355
XSPS.MI,07/08/2008,39,39.47,38.8,39.33,2758
XSPS.MI,08/08/2008,39.6,40.54,39.33,40.01,6406
XSPS.MI,11/08/2008,39.63,39.92,39.6,39.68,3201
XSPS.MI,12/08/2008,39.9,39.97,39.84,39.84,1060
XSPS.MI,13/08/2008,40.5,40.72,40.47,40.7,10423
XSPS.MI,14/08/2008,40.23,40.6,40.15,40.15,3253
XSPS.MI,18/08/2008,40.35,40.7,40.35,40.69,1278
XSPS.MI,19/08/2008,41.23,41.6,41.21,41.6,177
XSPS.MI,20/08/2008,41.21,41.54,41.19,41.48,1875
XSPS.MI,21/08/2008,41.25,41.34,40.9,40.98,1474
XSPS.MI,22/08/2008,40.73,40.73,40.43,40.43,88
XSPS.MI,25/08/2008,40.78,41.04,40.46,40.86,2593
XSPS.MI,26/08/2008,41.68,41.76,41.43,41.53,2189
XSPS.MI,27/08/2008,41.37,41.37,41.18,41.18,674
XSPS.MI,28/08/2008,40.96,40.96,40.55,40.65,170
XSPS.MI,29/08/2008,40.01,40.58,40.01,40.58,571
XSPS.MI,01/09/2008,41.32,41.32,41.11,41.3,916
XSPS.MI,02/09/2008,40.41,41.13,40.41,41.01,2315
XSPS.MI,03/09/2008,41.62,42.5,41.58,41.65,1276
XSPS.MI,04/09/2008,40.41,42.99,40.41,42.41,12944
XSPS.MI,05/09/2008,43.49,44.39,42.2,44.15,1932
XSPS.MI,08/09/2008,42.21,43.15,42.11,42.92,4310
XSPS.MI,09/09/2008,42.95,43.81,42.76,43.69,243
XSPS.MI,10/09/2008,44.01,44.75,43.86,44.47,33313
XSPS.MI,11/09/2008,45.45,45.78,45.28,45.54,9039
XSPS.MI,12/09/2008,44.1,44.3,43.45,44.03,4329
XSPS.MI,15/09/2008,44.38,45.33,44.03,44.61,10917
XSPS.MI,16/09/2008,44.88,46.4,44.88,45.89,10866
XSPS.MI,17/09/2008,45,45.7,44.39,45.69,1232
XSPS.MI,18/09/2008,45.94,46.15,44.9,45.81,5660
XSPS.MI,19/09/2008,45.45,45.45,41.91,42.36,6214
XSPS.MI,22/09/2008,43,43,41.41,41.78,4008
XSPS.MI,23/09/2008,42.85,43.86,42.5,42.6,43446
XSPS.MI,24/09/2008,43.17,43.8,43.17,43.71,565
XSPS.MI,25/09/2008,43.6,43.6,43,43.43,201
XSPS.MI,26/09/2008,44.01,44.3,43.97,44.03,3332
XSPS.MI,29/09/2008,43,45.44,43,45.18,3473
XSPS.MI,30/09/2008,46,47.42,46,46.61,44957
XSPS.MI,01/10/2008,46.17,47.32,46.17,47.14,2862
XSPS.MI,02/10/2008,47.11,48.5,46.68,48.29,1996
XSPS.MI,03/10/2008,48.5,48.83,47.55,48.34,5102
XSPS.MI,06/10/2008,48.34,53.99,47.55,53.13,20145
XSPS.MI,07/10/2008,51.9,53.28,50.5,52.43,5748
XSPS.MI,08/10/2008,55.91,57.21,52.9,55.09,24970
XSPS.MI,09/10/2008,56.02,57,54.14,56.75,4103
XSPS.MI,10/10/2008,59,63.91,59,63.66,17293
XSPS.MI,13/10/2008,57.3,59.31,55,57.95,5167
XSPS.MI,14/10/2008,56.8,56.8,50.08,53.64,24329
XSPS.MI,15/10/2008,55.8,57.01,53.85,56.86,18736
XSPS.MI,16/10/2008,61,62.94,58.24,62.55,71996
XSPS.MI,17/10/2008,61.5,62.5,56.66,56.91,31495
XSPS.MI,20/10/2008,56.32,57.85,55.96,57.83,1813
XSPS.MI,21/10/2008,56,57.24,55.99,56.64,4898
XSPS.MI,22/10/2008,57.34,61.78,57.34,61.2,21283
XSPS.MI,23/10/2008,62,64.3,61.2,62.68,7360
XSPS.MI,24/10/2008,61.2,68.4,61.2,66.52,60497
XSPS.MI,27/10/2008,70,70,65.64,66.52,5529
