ticker,dateTime,open,high,low,close,volume
XT21.MI,27/04/2010,18.99,18.99,18.99,18.99,0
XT21.MI,28/04/2010,19.7,19.7,19.7,19.7,0
XT21.MI,29/04/2010,19.37,19.37,19.37,19.37,100
XT21.MI,30/04/2010,18.94,18.94,18.94,18.94,10000
XT21.MI,03/05/2010,21,21,21,21,15
XT21.MI,04/05/2010,19.71,20.6,19.71,20.6,2684
XT21.MI,05/05/2010,20.77,20.77,19.84,19.84,10834
XT21.MI,06/05/2010,21.23,21.74,21.03,21.65,50545
XT21.MI,07/05/2010,22.58,23.42,22.58,23.17,3960
XT21.MI,10/05/2010,21.8,21.8,20.83,21.47,11784
XT21.MI,11/05/2010,21.6,21.99,21.21,21.21,1178
XT21.MI,12/05/2010,21.77,21.77,21.33,21.33,10200
XT21.MI,13/05/2010,20,21.31,20,21.11,275
XT21.MI,14/05/2010,21.5,23.06,21.48,23.06,83054
XT21.MI,17/05/2010,22.97,23.78,21.76,22.8,11200
XT21.MI,18/05/2010,22.57,22.64,22.45,22.64,1133
XT21.MI,19/05/2010,23.26,24.3,23.26,23.6,3547
XT21.MI,20/05/2010,23.82,25.2,23.82,25,3710
XT21.MI,21/05/2010,24.95,25.96,24.43,24.5,14329
XT21.MI,24/05/2010,24,25.01,23.74,25,8695
XT21.MI,25/05/2010,26.85,27.26,26.5,26.5,5655
XT21.MI,26/05/2010,24,27.26,26.5,24.85,1990
XT21.MI,27/05/2010,24.85,25.12,24.34,24.34,7534
XT21.MI,28/05/2010,24.36,24.36,23.7,24.19,4860
XT21.MI,31/05/2010,24.39,24.39,24.39,24.39,120
XT21.MI,01/06/2010,25.07,25.9,25.07,25.62,891
XT21.MI,03/06/2010,24.33,24.33,23.9,23.9,895
XT21.MI,04/06/2010,24.86,25.78,24.86,25.23,270
XT21.MI,07/06/2010,26,26.68,25.8,26.68,3194
XT21.MI,08/06/2010,26.92,27.48,26.55,27.43,9753
XT21.MI,09/06/2010,26.54,26.54,25.9,26,1100
XT21.MI,10/06/2010,25.71,25.71,24.97,24.97,820
XT21.MI,11/06/2010,25.37,25.37,24.5,24.98,16175
XT21.MI,14/06/2010,24.18,24.18,23.58,23.7,12340
XT21.MI,15/06/2010,23.93,23.93,23.93,23.93,2000
XT21.MI,16/06/2010,22.78,23.65,22.78,23.2,24311
XT21.MI,17/06/2010,22.95,22.95,22.95,22.95,11
XT21.MI,18/06/2010,22.99,22.99,22.74,22.74,150
XT21.MI,21/06/2010,22.5,22.5,22.36,22.45,960
XT21.MI,22/06/2010,23.34,23.35,23.34,23.35,250
XT21.MI,23/06/2010,23.69,24.13,23.69,24.13,10011
XT21.MI,24/06/2010,24.45,24.45,24.21,24.24,1124
XT21.MI,25/06/2010,24.52,25.38,24.52,25,390
XT21.MI,28/06/2010,24.08,24.92,24.08,24.6,12850
XT21.MI,29/06/2010,25.45,26.61,25.45,26.31,6932
XT21.MI,30/06/2010,26.25,26.59,26,26.24,34025
XT21.MI,01/07/2010,27.41,27.66,26.73,27.62,15429
XT21.MI,02/07/2010,26.51,26.8,26.07,26.52,12533
XT21.MI,05/07/2010,26.65,27.22,26.3,27.22,22161
XT21.MI,06/07/2010,26.86,26.86,25.69,25.8,23429
XT21.MI,07/07/2010,26.5,26.84,25.47,25.47,38105
XT21.MI,08/07/2010,25,25,24.5,24.5,4536
XT21.MI,09/07/2010,23.94,24.29,23.94,24.29,30
XT21.MI,12/07/2010,24.06,24.46,23.87,24.2,27990
XT21.MI,13/07/2010,24.05,24.05,23,23,2679
XT21.MI,14/07/2010,22.81,23.15,22.63,23.05,17660
XT21.MI,15/07/2010,22.85,23.07,22.4,23.07,8588
XT21.MI,16/07/2010,22.4,23.13,22.4,23.13,11150
XT21.MI,19/07/2010,23.54,23.6,23.54,23.54,1709
XT21.MI,20/07/2010,23.64,24.16,23.64,23.65,9417
XT21.MI,21/07/2010,23.05,23.05,22.82,22.99,1205
XT21.MI,22/07/2010,22.9,23.26,22.52,22.52,16660
XT21.MI,23/07/2010,22.69,22.7,22.31,22.7,8055
XT21.MI,26/07/2010,21.98,22.18,21.75,21.75,1400
XT21.MI,27/07/2010,21.3,21.69,21.03,21.69,1131
XT21.MI,28/07/2010,21.31,21.53,21.31,21.53,8200
XT21.MI,30/07/2010,22.51,22.51,21.95,21.98,660
XT21.MI,02/08/2010,21.5,21.5,20.77,20.77,2390
XT21.MI,03/08/2010,20.7,21.08,20.7,20.9,159
XT21.MI,04/08/2010,21.07,21.07,20.85,20.85,376
XT21.MI,05/08/2010,20.89,20.89,20.88,20.88,16
XT21.MI,06/08/2010,21.04,21.04,20.53,20.74,4720
XT21.MI,09/08/2010,20.57,20.57,20.43,20.43,71
XT21.MI,11/08/2010,21.4,22.55,21.4,22.54,3532
XT21.MI,12/08/2010,22.44,23.57,22.41,22.76,16230
XT21.MI,13/08/2010,22.69,23.32,22.69,23.03,32690
XT21.MI,16/08/2010,23.24,23.29,22.96,23.135,19695
XT21.MI,17/08/2010,22.66,22.72,22.63,22.66,17100
XT21.MI,18/08/2010,22.56,22.56,22.37,22.42,3500
XT21.MI,19/08/2010,22.68,23.06,22.62,23.06,35974
XT21.MI,20/08/2010,23.2,23.815,23.2,23.815,14211
XT21.MI,23/08/2010,23.87,23.87,23.28,23.28,31469
XT21.MI,24/08/2010,24.09,24.49,24.09,24.4,13755
XT21.MI,25/08/2010,24.86,24.96,24.19,24.96,36205
XT21.MI,26/08/2010,23.7,24.28,23.7,24.28,9950
XT21.MI,27/08/2010,24.27,24.6,23.89,24,68500
XT21.MI,30/08/2010,23.21,23.95,23.21,23.77,902
XT21.MI,31/08/2010,24.87,25,24.25,24.25,2300
XT21.MI,01/09/2010,23.78,23.78,23.5,23.5,527
XT21.MI,02/09/2010,22.97,22.97,22.76,22.81,8523
XT21.MI,03/09/2010,22.41,22.41,21.7,21.95,3355
XT21.MI,06/09/2010,21.8,21.8,21.63,21.63,2500
XT21.MI,07/09/2010,22,22.35,22,22.35,3865
XT21.MI,08/09/2010,22.64,22.69,22.34,22.34,9002
XT21.MI,09/09/2010,22.64,22.69,21.86,21.87,310
XT21.MI,10/09/2010,21.78,21.855,21.78,21.855,213
XT21.MI,13/09/2010,21.5,21.5,20.85,20.97,7790
XT21.MI,14/09/2010,21.05,21.275,20.67,20.69,47550
XT21.MI,15/09/2010,20.9,21.01,20.9,21.01,6395
XT21.MI,16/09/2010,20.77,20.785,20.6,20.61,5820
XT21.MI,17/09/2010,20.4,20.66,19.98,20.66,6312
XT21.MI,20/09/2010,20.31,20.34,20.06,20.13,25456
XT21.MI,21/09/2010,20.08,20.08,19.75,19.92,66560
XT21.MI,22/09/2010,19.515,19.865,19.43,19.53,20297
XT21.MI,23/09/2010,19.515,20.155,19.43,19.8,23749
XT21.MI,24/09/2010,19.99,19.99,19.06,19.14,3445
XT21.MI,27/09/2010,19.99,19.04,18.9,18.935,2403
XT21.MI,29/09/2010,18.9,19.06,18.6,18.91,221
XT21.MI,30/09/2010,19.08,19.08,18.575,19,30925
XT21.MI,01/10/2010,18.95,18.95,18.6,18.84,33421
XT21.MI,04/10/2010,18.95,19.04,18.73,19.04,91723
XT21.MI,05/10/2010,18.97,19.01,18.27,18.33,40681
XT21.MI,06/10/2010,18.075,18.1,17.695,17.95,17980
XT21.MI,07/10/2010,17.78,18.055,17.6,17.6,2290
XT21.MI,08/10/2010,17.78,18.2,18,18,14311
XT21.MI,11/10/2010,17.8,17.81,17.69,17.81,32680
XT21.MI,12/10/2010,18.195,18.255,18.075,18.075,40644
XT21.MI,13/10/2010,17.7,17.7,17.3,17.3,325
XT21.MI,14/10/2010,17.02,17.29,17.02,17.2,1515
XT21.MI,15/10/2010,17.21,17.5,17.07,17.42,36713
XT21.MI,18/10/2010,17.73,17.73,17.28,17.4,43920
XT21.MI,19/10/2010,17.4,17.78,17.34,17.78,12928
XT21.MI,20/10/2010,17.83,17.83,17.38,17.38,40686
XT21.MI,21/10/2010,17.23,17.23,16.92,16.92,10497
XT21.MI,22/10/2010,17.26,17.41,17.24,17.24,1075
XT21.MI,25/10/2010,16.77,16.99,16.77,16.97,34385
XT21.MI,26/10/2010,17.16,17.28,17.12,17.28,16220
XT21.MI,27/10/2010,17.48,17.72,17.33,17.72,28635
XT21.MI,28/10/2010,17.26,17.33,17.07,17.15,11430
XT21.MI,29/10/2010,17.49,17.49,17.36,17.36,143
XT21.MI,01/11/2010,16.95,17.1,16.86,17.1,34865
XT21.MI,02/11/2010,16.98,17,16.75,16.8,6802
XT21.MI,03/11/2010,16.67,16.95,16.61,16.95,21205
XT21.MI,04/11/2010,16.6,16.6,15.92,15.98,18605
XT21.MI,05/11/2010,15.74,16.05,15.74,15.92,20893
XT21.MI,08/11/2010,15.99,16.19,15.99,16.115,13390
XT21.MI,09/11/2010,16.29,16.31,15.91,16.07,28512
XT21.MI,10/11/2010,16.44,16.73,16.39,16.73,12655
XT21.MI,11/11/2010,16.52,16.73,16.51,16.73,12399
