Date,Open,High,Low,Close,Volume,Adj Close
2011-05-11,6.09,6.09,6.09,6.085,0,6.085
2011-11-08,5.925,5.925,5.915,5.865,16800,5.865
2011-11-15,5.97,5.97,5.97,5.94,300,5.94
2011-11-22,5.765,5.765,5.765,5.73,2800,5.73
2011-12-02,5.97,5.97,5.97,5.93,800,5.93
2011-12-14,6.005,6.005,6.005,5.975,800,5.975
2012-02-02,6.05,6.05,6.05,6.035,200,6.035
2012-02-07,6.055,6.055,6.055,6.05,0,6.05
2012-02-16,6.045,6.045,6.045,6.095,300,6.095
2012-02-21,6.085,6.085,6.085,6.11,16800,6.11
2012-03-06,6.035,6.035,6.035,6.035,800,6.035
2012-06-11,6.415,6.415,6.415,6.38,0,6.38
2012-06-19,6.535,6.535,6.535,6.495,4700,6.495
2012-07-04,6.77,6.77,6.77,6.495,300,6.495
2012-07-12,6.875,6.875,6.875,6.495,2200,6.495
2012-07-23,6.84,6.84,6.84,6.9025,1000,6.9025
2012-07-25,6.8,6.8,6.8,6.78,300,6.78
2012-08-07,7.065,7.065,7.065,7.0895,0,7.0895
2012-09-11,6.99,6.99,6.99,6.975,700,6.975
2012-10-15,6.655,6.655,6.655,6.6615,800,6.6615
2012-10-22,6.755,6.755,6.755,6.6972,0,6.6972
2012-11-15,6.465,6.465,6.465,6.455,2200,6.455
2012-11-22,6.57,6.57,6.57,6.535,0,6.535
2012-12-03,6.555,6.555,6.555,6.525,13500,6.525
2012-12-10,6.595,6.595,6.595,6.57,100,6.57
2012-12-12,6.575,6.58,6.575,6.6,1000,6.6
2012-12-20,6.485,6.485,6.485,6.46,200,6.46
2013-01-21,6.475,6.54,6.475,6.515,1000,6.515
2013-01-23,6.52,6.52,6.52,6.515,1600,6.515
2013-02-11,6.63,6.63,6.63,6.585,0,6.585
2013-02-19,6.515,6.515,6.515,6.505,3300,6.505
2013-02-28,6.66,6.66,6.66,6.66,0,6.66
2013-03-04,6.705,6.705,6.705,6.715,700,6.715
2013-03-14,6.97,6.97,6.97,6.995,700,6.995
2013-03-20,7.04,7.04,7.03,7.0,9000,7.0
2013-03-22,6.97,6.97,6.97,7.005,100,7.005
2013-04-11,7.24,7.24,7.24,7.24,500,7.24
2013-04-15,7.275,7.275,7.275,7.235,200,7.235
2013-04-16,7.19,7.225,7.185,7.195,6300,7.195
2013-04-22,7.33,7.33,7.33,7.295,0,7.295
2013-04-26,7.435,7.435,7.435,7.435,0,7.435
2013-04-30,7.47,7.47,7.47,7.41,0,7.41
2013-05-06,7.385,7.39,7.385,7.425,2100,7.425
2013-05-13,7.495,7.495,7.495,7.525,1000,7.525
2013-05-20,7.71,7.71,7.71,7.675,0,7.675
2013-05-23,7.465,7.465,7.465,7.41,0,7.41
2013-06-06,7.04,7.04,6.985,7.015,700,7.015
2013-06-10,7.185,7.185,7.18,7.15,100,7.15
2013-06-14,7.05,7.105,7.05,7.06,200,7.06
2013-06-18,7.175,7.175,7.175,7.145,100,7.145
2013-06-19,7.195,7.195,7.165,7.105,900,7.105
2013-07-03,7.12,7.2,7.12,7.185,300,7.185
2013-07-04,7.285,7.285,7.285,7.32,100,7.32
2013-07-09,7.32,7.32,7.32,7.37,4100,7.37
2013-07-12,7.39,7.39,7.39,7.32,0,7.32
2013-07-17,7.29,7.29,7.29,7.325,0,7.325
2013-07-25,7.29,7.29,7.29,7.33,2100,7.33
2013-08-05,7.4,7.4,7.4,7.42,400,7.42
2013-08-19,7.165,7.165,7.165,7.205,600,7.205
2013-08-26,7.15,7.15,7.15,7.18,3400,7.18
2013-09-04,7.325,7.325,7.325,7.32,0,7.32
2013-09-06,7.415,7.415,7.415,7.365,200,7.365
2013-09-10,7.455,7.455,7.455,7.41,0,7.41
2013-09-16,7.55,7.55,7.52,7.565,2100,7.565
2013-09-17,7.55,7.55,7.55,7.505,0,7.505
2013-09-20,7.5,7.5,7.5,7.455,0,7.455
2013-10-15,7.765,7.765,7.765,7.735,0,7.735
2013-10-22,7.93,7.93,7.93,7.94,100,7.94
2013-10-23,7.905,7.905,7.83,7.87,7500,7.87
2013-10-24,7.945,7.945,7.945,7.875,0,7.875
2013-10-29,7.86,7.86,7.86,7.925,300,7.925
2013-11-07,7.985,8.05,7.985,8.03,200,8.03
2013-11-15,8.055,8.055,8.055,8.055,500,8.055
2013-11-22,8.08,8.08,8.08,8.03,0,8.03
2013-12-03,7.97,7.97,7.885,7.92,100,7.92
2013-12-09,7.865,7.865,7.865,7.895,2700,7.895
2013-12-17,7.825,7.825,7.825,7.795,1000,7.795
2014-01-07,8.15,8.15,8.15,8.115,700,8.115
2014-01-13,8.095,8.095,8.095,8.055,300,8.055
2014-01-14,8.06,8.06,8.06,8.05,0,8.05
2014-01-23,8.12,8.12,8.12,8.05,3600,8.05
2014-01-29,7.74,7.74,7.74,7.815,600,7.815
2014-02-20,7.92,7.92,7.92,7.965,0,7.965
2014-02-24,8.07,8.07,8.07,8.04,1000,8.04
2014-02-25,8.025,8.025,8.025,8.0,0,8.0
2014-02-27,7.96,7.96,7.96,7.965,300,7.965
2014-03-03,7.885,7.885,7.885,7.83,100,7.83
2014-03-05,8.005,8.005,8.005,7.965,100,7.965
2014-03-06,8.035,8.035,8.035,7.975,0,7.975
2014-04-11,7.835,7.835,7.745,7.78,300,7.78
2014-04-16,7.865,7.865,7.865,7.895,600,7.895
2014-04-22,7.99,7.99,7.99,8.05,200,8.05
2014-04-23,8.0,8.0,8.0,7.965,40000,7.965
2014-05-02,8.115,8.115,8.115,8.125,100,8.125
2014-05-06,8.115,8.115,8.115,8.125,300,8.125
2014-05-07,8.115,8.115,8.115,8.14,300,8.14
2014-05-29,8.4,8.415,8.4,8.37,8300,8.37
2014-06-24,8.435,8.435,8.435,8.41,1600,8.41
2014-06-30,8.34,8.34,8.34,8.36,0,8.36
2014-07-08,8.455,8.455,8.41,8.355,400,8.355
2014-07-17,8.565,8.565,8.505,8.52,1500,8.52
2014-07-18,8.495,8.495,8.495,8.52,0,8.52
2014-07-21,8.48,8.48,8.48,8.495,4800,8.495
2014-07-23,8.6,8.6,8.6,8.585,900,8.585
2014-07-25,8.605,8.605,8.605,8.58,200,8.58
2014-07-29,8.685,8.795,8.685,8.735,287800,8.735
2014-07-30,8.74,8.74,8.74,8.69,0,8.69
2014-08-01,8.74,8.74,8.74,8.465,0,8.465
2014-08-18,8.35,8.35,8.34,8.36,2100,8.36
2014-08-19,8.37,8.37,8.37,8.36,500,8.36
2014-08-26,8.5,8.5,8.49,8.51,5000,8.51
2014-08-28,8.56,8.58,8.56,8.56,2500,8.56
2014-08-29,8.58,8.58,8.58,8.585,1000,8.585
2014-09-26,8.79,8.805,8.79,8.79,100,8.79
2014-10-06,8.75,8.75,8.75,8.765,100,8.765
2014-10-14,8.43,8.43,8.43,8.415,200,8.415
