,ret,vola,sharpe,xesc,xspx,phau,csbgu7,csbgu3,ibtm,em13,em35,em57,em710,em1015,em15
673,0.11844664515139126,0.12246439193028748,0.8855361419107378,0.020092624214119854,0.7813774578577671,0.03271715768417722,0.16581276024393585,,,,,,,,
421,0.1210214140932834,0.1271575167838251,0.8731014642415992,0.03816435916223546,0.816124692351567,0.1255274244639454,,0.020183524022252198,,,,,,,
644,0.11474465596251934,0.11623365797563792,0.9011559800042891,0.001506118700662434,0.7531296650418514,0.06082494519480587,,,0.18453927106268034,,,,,,
319,0.1263728339604276,0.12986457571934823,0.8961091453601805,0.013851471361909022,0.8567758622576286,0.12822498874365004,,,,0.0011476776368123745,,,,,
763,0.06990602118363048,0.06261310129384408,0.9567649572649463,0.005600814515939151,0.4053143692931442,0.024145622946289608,,,,,0.5649391932446272,,,,
752,0.07459668362986686,0.060256468577603854,1.072029031151623,0.014825955913188034,0.36854611353292976,0.011418203689244105,,,,,,0.6052097268646381,,,
2,0.06662896527755457,0.049482174898090626,1.1444316138929398,0.05155122201836738,0.19740467559010624,0.021629320325737094,,,,,,,0.7294147820657894,,
450,0.08230735758838026,0.06178321126760609,1.1703399047225012,0.012144608327931771,0.31404025266856594,0.06868544256358912,,,,,,,,0.6051296964399131,
929,0.10613286276120207,0.08050736822521393,1.1940877571885953,0.0046089137536970606,0.44500584609159183,0.00634768358515895,,,,,,,,,0.5440375565695521
847,0.12854977014079938,0.13388409968388934,0.8854656409588929,0.0014701461393018234,0.887482547693606,,0.05167463436324836,0.05937267180384376,,,,,,,
32,0.13151237849163644,0.13842389657937193,0.8778280448272278,0.03272289132050436,0.9031605723225375,,0.05438794784302943,,0.009728588513928785,,,,,,
709,0.11699228905863478,0.12047569092356498,0.888081971046884,0.006736613812746059,0.7708808698004943,,0.2059856160805383,,,0.016396900306221304,,,,,
612,0.0814459367039198,0.07651193756209115,0.933788098699498,8.354039957381779e-05,0.5069388580271322,,0.024239800862346752,,,,0.4687378007109472,,,,
256,0.06147652158823341,0.04620880739801497,1.1139980554972022,0.002559720932503035,0.25642639466801304,,0.031082487284807007,,,,,0.7099313971146769,,,
395,0.07140077855992133,0.052980587444927674,1.1589297424032206,0.03321246033268777,0.26145306983307304,,0.044700484786204496,,,,,,0.6606339850480347,,
65,0.07431928370190886,0.05660355816675303,1.1363116698852296,0.023974043522334513,0.22830587211407558,,0.07951472305724022,,,,,,,0.6682053613063497,
531,0.09887833240424752,0.07614475731685097,1.1672285202040902,0.009581588028413067,0.3898026224959813,,0.055438401573986835,,,,,,,,0.5451773879016187
86,0.0997341249363572,0.1056160662167977,0.849625707060139,0.04621418248021874,0.6205459504600322,,,0.08032646737024063,0.2529133996895084,,,,,,
611,0.13144919831321328,0.13922476237341758,0.8723246945645482,0.032575965906061634,0.9121970311232226,,,0.03413206487076275,,0.021094938099952797,,,,,
538,0.06059415689792745,0.05358287556473621,0.9442225032660306,0.007591278165697144,0.3354218611563402,,,0.024564060353096905,,,0.6324228003248658,,,,
464,0.05522953510795939,0.04264932180920367,1.0604983429818315,0.01132249775006543,0.2061440288477544,,,0.10061606274916059,,,,0.6819174106530196,,,
