Date,Open,High,Low,Close,Volume,Adj Close
2010-01-28,76.94,76.94,76.94,76.94,0,76.94
2010-02-01,73.88,73.88,73.88,73.88,0,73.88
2010-02-02,72.11,72.11,72.11,72.11,0,72.11
2010-02-03,71.99,73.3,71.99,72.11,1300,72.11
2010-02-04,73.0,74.23,73.0,73.28,100,73.28
2010-02-05,79.0,79.0,79.0,79.0,100,79.0
2010-02-08,78.49,78.6,78.49,78.6,0,78.6
2010-02-09,77.9,77.9,77.76,77.76,0,77.76
2010-02-10,78.0,78.0,75.97,76.87,0,76.87
2010-02-11,76.9,76.9,76.12,76.18,100,76.18
2010-02-12,77.8,78.2,76.01,77.43,100,77.43
2010-02-15,77.16,77.16,77.16,77.16,0,77.16
2010-02-16,76.2,76.2,76.2,76.2,2500,76.2
2010-02-17,73.21,73.21,73.21,73.21,0,73.21
2010-02-18,73.6,73.92,72.64,72.88,200,72.88
2010-02-19,73.25,73.25,73.25,73.25,0,73.25
2010-02-22,71.73,71.73,71.73,71.73,0,71.73
2010-02-23,71.34,73.87,71.34,73.87,200,73.87
2010-02-24,74.7,74.7,74.7,74.7,0,74.7
2010-02-25,73.28,75.96,73.28,75.96,2500,75.96
2010-02-26,74.59,74.59,74.59,74.59,0,74.59
2010-03-01,72.28,72.28,71.7,71.7,100,71.7
2010-03-02,71.38,71.38,70.02,70.02,600,70.02
2010-03-03,68.97,68.97,68.97,68.97,0,68.97
2010-03-04,69.81,69.81,69.13,69.29,600,69.29
2010-03-05,68.65,68.65,67.8,67.8,100,67.8
2010-03-08,67.11,67.59,67.11,67.51,100,67.51
2010-03-09,67.09,67.09,67.09,67.09,0,67.09
2010-03-10,66.25,66.25,66.25,66.25,0,66.25
2010-03-11,66.17,66.17,66.17,66.17,0,66.17
2010-03-12,66.0,66.0,66.0,66.0,100,66.0
2010-03-15,66.61,76.0,66.61,66.61,0,66.61
2010-03-16,65.94,65.94,65.94,65.94,0,65.94
2010-03-17,64.57,64.57,64.1,64.11,400,64.11
2010-03-18,64.3,64.48,64.3,64.35,100,64.35
2010-03-19,64.1,65.26,64.1,65.23,300,65.23
2010-03-22,65.58,66.26,65.14,65.58,200,65.58
2010-03-23,64.3,64.3,64.3,64.3,0,64.3
2010-03-24,64.7,64.91,63.92,64.38,0,64.38
2010-03-25,63.0,63.0,61.76,61.85,400,61.85
2010-03-26,62.27,62.34,61.69,62.14,2900,62.14
2010-03-29,61.04,61.79,61.04,61.18,1000,61.18
2010-03-30,61.0,61.73,60.9,61.54,400,61.54
2010-03-31,61.31,61.31,61.3,61.3,5500,61.3
2010-04-01,60.5,60.5,57.0,59.92,2100,59.92
2010-04-06,60.88,60.88,59.63,59.75,100,59.75
2010-04-07,59.4,59.88,59.23,59.75,500,59.75
2010-04-08,60.45,61.38,60.45,60.78,1700,60.78
2010-04-09,59.36,59.36,59.36,59.36,300,59.36
2010-04-12,59.28,59.99,59.08,59.27,1600,59.27
2010-04-13,59.79,59.9,59.51,59.9,4500,59.9
2010-04-14,59.57,59.57,58.0,58.69,1200,58.69
2010-04-15,58.54,59.05,58.54,58.94,600,58.94
2010-04-16,59.03,60.51,58.73,60.4,2600,60.4
2010-04-19,60.7,62.64,60.42,60.8,2800,60.8
2010-04-20,60.51,60.51,58.78,58.98,2800,58.98
2010-04-21,58.65,60.53,58.5,59.15,1800,59.15
2010-04-22,58.53,61.0,58.53,60.59,5400,60.59
2010-04-23,60.5,60.5,58.78,58.86,7000,58.86
2010-04-26,57.62,57.85,57.44,57.54,2800,57.54
2010-04-27,57.55,59.87,57.55,59.7,5300,59.7
2010-04-28,60.9,63.1,60.51,61.09,12600,61.09
2010-04-29,61.96,62.0,61.0,61.3,5300,61.3
2010-04-30,60.18,62.0,60.18,61.12,1900,61.12
2010-05-03,61.08,61.64,60.29,60.41,10500,60.41
2010-05-04,60.18,63.29,59.9,63.29,6900,63.29
2010-05-05,63.64,65.0,63.45,64.5,4600,64.5
2010-05-06,65.19,66.11,63.63,65.68,7100,65.68
2010-05-07,66.71,68.2,66.07,68.2,3300,68.2
2010-05-10,66.35,67.79,63.04,63.36,2200,63.36
2010-05-11,63.58,64.12,63.5,63.5,700,63.5
2010-05-12,62.42,62.42,57.9,58.95,8200,58.95
2010-05-13,58.0,58.65,57.69,57.73,3900,57.73
2010-05-14,58.5,62.0,58.25,61.82,14300,61.82
2010-05-17,61.76,61.76,59.72,61.12,3300,61.12
2010-05-18,61.0,61.0,59.12,59.42,4000,59.42
2010-05-19,60.99,62.99,60.11,62.52,5700,62.52
2010-05-20,61.85,66.4,61.85,65.73,5000,65.73
2010-05-21,66.6,68.5,65.34,65.91,2500,65.91
2010-05-24,65.73,67.61,65.03,66.51,300,66.51
2010-05-25,69.54,70.6,69.54,70.0,5400,70.0
2010-05-26,68.0,68.0,65.92,66.84,1300,66.84
2010-05-27,65.01,65.01,63.15,63.22,1700,63.22
2010-05-28,62.59,63.37,62.36,62.36,100,62.36
2010-05-31,62.47,62.51,62.19,62.19,200,62.19
2010-06-01,64.31,65.0,62.6,62.6,4100,62.6
2010-06-02,64.11,64.11,62.0,62.07,2300,62.07
2010-06-03,60.0,60.63,59.83,60.6,1000,60.6
2010-06-04,59.98,63.13,59.62,60.6,8800,60.6
2010-06-07,64.49,64.6,63.1,64.13,1800,64.13
2010-06-08,63.25,65.87,63.25,64.13,800,64.13
2010-06-09,63.2,64.75,61.83,61.97,6000,61.97
2010-06-10,62.61,63.0,60.0,60.71,3500,60.71
2010-06-11,60.57,61.8,60.27,61.07,2500,61.07
2010-06-14,59.53,59.53,58.88,59.14,3600,59.14
2010-06-15,59.06,59.06,57.73,57.83,1100,57.83
2010-06-16,58.0,58.38,57.88,58.01,400,58.01
2010-06-17,57.56,57.9,56.91,57.44,2800,57.44
2010-06-18,57.0,57.6,56.85,57.13,6300,57.13
2010-06-21,55.8,56.5,55.32,56.01,1400,56.01
2010-06-22,56.16,56.97,55.9,56.36,600,56.36
2010-06-23,56.51,56.51,56.51,56.51,0,56.51
2010-06-24,57.0,59.3,57.0,57.41,6800,57.41
2010-06-25,59.8,60.27,59.62,59.96,5500,59.96
2010-06-28,58.82,59.88,58.15,59.8,4600,59.8
2010-06-29,60.0,62.2,60.0,61.53,2800,61.53
2010-06-30,61.98,62.08,61.25,61.72,1500,61.72
2010-07-01,62.6,64.4,62.2,64.05,2500,64.05
2010-07-02,64.55,64.55,63.85,64.15,100,64.15
2010-07-05,65.06,65.06,64.01,64.63,100,64.63
2010-07-06,63.37,63.37,61.57,62.29,0,62.29
2010-07-07,61.3,61.35,61.04,61.32,200,61.32
2010-07-08,60.39,60.39,60.0,60.01,2800,60.01
2010-07-09,59.78,59.78,59.78,59.78,0,59.78
2010-07-12,59.2,59.3,58.86,58.86,100,58.86
2010-07-13,57.65,57.65,57.09,57.1,800,57.1
2010-07-14,56.95,57.35,56.14,56.89,300,56.89
2010-07-15,56.98,57.75,56.35,57.75,1200,57.75
